""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"6330419J24Rik"	57.5827973247506	3.91678135325137	43.6536491905811	0	0	0
"9030617O03Rik"	15.2105502367266	15.6671254130055	10.9134122976453	77.4807310118973	148.552167098107	68.3635570137719
"A830082K12Rik"	159.710777485629	141.787484987699	177.590981934409	75.2669958401288	66.4575484386269	63.022654122071
"Adamtsl3"	11.9511466145709	58.7517202987705	23.8110813766806	148.320256508489	143.66558265409	154.886183859327
"Adcy3"	807.24563042056	473.930543743415	880.017882546487	142.785918579068	101.640956435547	151.681642124306
"Adcyap1r1"	471.527057338523	597.700834506158	430.583721561641	99.6180827295822	91.8677875475136	93.9998908939364
"AI607873"	307.470408356687	817.040590288235	345.260679961869	57.5571144659809	31.2741404417068	64.0908347004112
"Aif1l"	500.861689937925	854.641691279448	509.953992817243	1826.33151670901	2303.53590690946	1792.40701045483
"Aim2"	19.5564217329341	114.37001551494	24.8032097673756	1.10686758588425	0	1.06818057834019
"Als2cl"	79.3121548057885	95.5694650193333	77.3860144742119	439.426431596046	258.988975532884	434.749495384456
"Ano1"	98.8685765387226	244.407156442885	100.204967460198	1013.89070866997	1052.57028924119	990.203396121353
"Apln"	340.064444578244	752.805376094913	266.882537096962	140.572183407299	150.506800875714	160.227086751028
"Arap3"	43.4587149620759	49.3514450509672	38.693007237106	5.53433792942124	0	5.34090289170093
"Arnt2"	300.951601112375	230.30674357118	339.307909617698	1137.85987828901	391.904072410138	1025.45335520658
"Arxes2"	29.3346325994012	84.6024772302295	44.6457775812761	0	3.90926755521335	4.27272231336075
"B430319G15Rik"	370.485545051697	404.211835655541	372.048146510634	117.32796410373	178.848990651011	122.840766509121
"Bhlhb9"	1067.99792019301	1261.98695201759	1119.12082470399	299.961115774631	272.671411976131	315.113270610355
"Bves"	95.6091729165669	173.12173581371	93.2600687253323	350.877024725306	392.881389298941	374.931382997405
"Car8"	266.184629142715	34.467675908612	266.882537096962	14.3892786164952	32.2514573305101	10.6818057834019
"Casp4"	520.418111670859	357.993815687175	568.489567868249	240.190266136882	180.803624428617	209.363393354677
"Cd24a"	1098.41902066647	1256.50345812304	1121.10508148538	5676.01698041442	2401.2675957898	5519.28904828374
"Cdh10"	221.639446306587	97.9195338312841	241.087198938891	6.64120551530548	16.6143871096567	10.6818057834019
"Cers4"	242.282335913573	279.658188622148	226.205273078466	77.4807310118973	94.7997382139237	122.840766509121
"Cgref1"	39.1128434658683	35.2510321792623	32.7402368929358	164.923270296753	117.2780266564	199.749768149615
"Clic5"	128.203209138124	125.337003304044	123.023920446183	386.296787473602	215.987032425537	371.726841262385
"Cln3"	146.673162997006	76.7689145237268	135.921589525218	30.9922924047589	25.4102391088868	37.3863202419065
"Clu"	581.260312617765	967.444994253087	593.292777635625	1617.13354297689	1340.87877143818	1875.72509556537
"Cobl"	32.5940362215569	48.5680887803169	54.5670614882264	192.594959943859	173.962406206994	196.545226414594
"Col8a1"	1599.28071060439	1202.45187544817	1506.05089707505	474.846194344342	419.268945296631	396.294994564209
"Csmd3"	106.473851657086	5.48349389455191	144.850745041474	1.10686758588425	2.93195066641001	0
"Cxcl15"	10.864678740519	39.1678135325137	23.8110813766806	89.656274456624	230.646785757587	83.3180851105345
"Cyb561"	643.188981438723	377.577722453432	646.867710733156	205.87737097447	129.00582932204	207.227032197996
"Cygb"	161.883713233733	159.804679212656	169.653954808849	52.0227765365596	82.0946186594803	76.9090016404934
"Daam2"	785.516272939522	1028.54678336381	754.017576928219	4603.46228969258	1431.76924209689	4307.97227244597
"Dlx3"	17.3834859848304	5.48349389455191	14.8819258604254	63.0914523954021	59.6163302170035	63.022654122071
"Dnah17"	396.560774028942	299.242095388404	374.032403292024	187.060622014438	189.599476427847	155.954364437667
"Dpt"	1953.46923754531	7470.86875319165	1873.13840163221	289.999307501673	805.309116373949	340.74960449052
"Dsel"	607.33554159501	687.00344936029	639.922811998291	138.358448235531	292.217749752198	149.545280967626
"E330013P04Rik"	61.9286688209581	60.318432840071	75.4017576928219	14.3892786164952	12.7051195544434	6.40908347004112
"Elavl2"	53.236925828543	55.6182952161694	57.5434466603114	212.518576489775	107.504857768367	176.249795426131
"Epb4.1l4a"	228.158253550898	394.811560407738	187.51226584136	1148.92855414785	541.433556397049	996.612479591394
"Etv4"	1539.52497753154	808.423671311082	1567.56285729814	553.433792942124	584.435499504395	553.317539580217
"Etv5"	627.978431201997	578.116927739902	576.426594993809	255.686412339261	356.720664413218	183.727059474512
"Eya1"	24.9887611031936	23.5006881195082	35.7166220650209	509.159089506754	110.436808434777	410.181342082632
"Fam211b"	77.1392190576847	104.969740267137	92.2679403346373	292.213042673441	300.036284862624	304.431464826953
"Fam46a"	404.166049147306	670.552967676634	382.96155880828	158.282064781447	168.098504874174	168.772531377749
"Fam83h"	409.598388517565	658.019267346229	369.071761338549	1152.2491569055	872.74398170138	1077.79420354525
