Geneid,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3
DDX11L1,0,0,0,2,0,0,0,0,0,0,0,0
WASH7P,125,155,94,51,43,48,247,216,79,95,89,86
MIR6859-1,0,0,0,0,0,0,0,0,0,0,1,0
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC100996442,8,6,4,1,5,6,12,5,5,15,4,11
LOC729737,8,7,7,0,0,2,44,51,3,3,3,0
LOC102725121,19,21,12,1,3,11,48,52,16,18,14,11
WASH9P,69,55,36,29,9,23,111,96,21,58,54,61
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC107985721,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268260,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0
LOC105378947,2,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,1,0,0,0,0,0,0
LOC100133331,2,12,7,0,0,1,38,18,3,0,0,0
LOC107984841,7,8,4,0,0,1,26,30,1,1,1,0
LOC107984847,3,7,9,3,2,7,43,35,1,2,1,0
LOC107984849,0,0,1,0,0,0,0,0,0,1,0,0
LOC100288069,8,19,6,6,4,7,25,34,2,5,0,5
LINC01409,4,3,12,12,14,19,4,7,8,6,2,12
FAM87B,0,6,0,3,8,2,9,2,7,4,2,0
LINC00115,7,13,5,9,7,2,19,15,7,11,9,11
LINC01128,215,283,188,176,239,230,753,698,230,174,187,263
LOC107984850,0,0,0,2,0,0,0,0,0,0,0,0
FAM41C,0,0,0,0,0,0,0,1,0,0,0,0
LOC284600,9,25,12,8,4,12,139,111,15,8,4,14
LINC02593,20,27,14,1,1,5,81,67,6,14,24,22
LOC107985728,116,225,160,8,10,14,147,123,35,97,95,134
SAMD11,845,923,724,126,116,153,682,580,259,566,513,548
NOC2L,3091,3645,2759,710,861,1219,4113,3895,1502,2935,2847,3276
KLHL17,43,64,25,8,9,11,126,124,22,26,29,53
