Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3	NKO70_1	NKO70_2	NKO70_3
A1BG	0.919062567	0	1.036854043	4.486017227	0	2.206158633	4.56726299	0	0	0	0
A1BG-AS1	5.514375402	7.597719653	2.073708086	4.486017227	1.291167105	5.515396582	12.55997322	0	0.963114363	4.121826623	5.467609099
A1CF	0	0	0	0	1.291167105	6.618475898	1.141815747	0	0	0	0
A2M	0.919062567	0	7.257978299	8.972034454	0	8.824634531	2.283631495	0	0	0	1.822536366
A2M-AS1	0.919062567	0	5.184270214	2.990678151	3.873501314	0	1.141815747	2.057047482	0	0	1.822536366
A2ML1	0	0	2.073708086	0	0	2.206158633	1.141815747	1.028523741	5.778686176	1.030456656	0
A3GALT2	0	0	0	2.990678151	0	0	0	0	0	0	0
A4GALT	197.5984519	269.7190477	206.3339545	173.4593328	202.7132355	206.2758322	196.3923086	149.1359424	265.8195641	262.7664472	247.8649458
AAAS	1601.926054	1509.666895	1516.917465	587.6682568	712.7242419	617.7244172	655.9731469	1012.067361	1741.310768	1564.233203	1637.548925
AACS	1766.438254	1631.990181	1655.855906	1408.609409	1280.837768	1463.786253	1624.232901	1900.711873	1883.851693	1760.019968	1756.013789
AACSP1	0.919062567	2.279315896	1.036854043	0	2.58233421	0	0	0	0.963114363	0	3.645072732
AADAC	3.676250268	0	2.073708086	5.981356303	5.164668419	6.618475898	2.283631495	5.142618704	0	1.030456656	4.556340915
AADACL2	0	1.519543931	2.073708086	0	0	4.412317266	0.570907874	0	0	0	0.911268183
AADACL2-AS1	17.46218877	17.4747552	46.65843192	22.43008614	21.94984078	33.09237949	10.8472496	24.68456978	18.29917289	8.243653245	21.87043639
AADACL3	0.919062567	0	0	0	0	1.103079316	0	0	0	0	0
AADACL4	0	0	0	8.972034454	1.291167105	7.721555215	0	0	0	0	0
AADACP1	5.514375402	6.078175722	9.331686385	29.90678151	12.91167105	19.85542769	5.138170864	9.256713667	8.668029263	7.213196589	1.822536366
AADAT	59.73906685	60.78175722	50.8058481	52.33686765	76.17885918	54.0508865	53.66534013	53.48323452	68.38111974	103.0456656	61.96623645
AAGAB	3388.583684	3256.382643	3576.109594	6800.802116	6242.792952	5336.697733	1781.803474	4649.955832	4747.190693	5105.912729	4663.870561
AAK1	316.157523	361.6514555	308.9825047	182.4313672	163.9782223	272.4605911	651.4058839	173.8205122	155.0614124	137.0507352	164.9395411
AAMDC	115.8018834	113.2060228	106.7959664	587.6682568	623.6337116	672.878383	130.1669952	282.8440287	138.6884682	149.4162151	117.5535956
AAMP	1830.772633	1919.183984	1639.266242	2118.89547	2014.220684	1826.699348	1335.353517	2052.933387	2343.257244	2388.598528	2258.122558
AANAT	11.94781337	14.43566734	5.184270214	5.981356303	16.78517236	6.618475898	12.55997322	4.114094963	4.815571813	4.121826623	13.66902275
