Gene	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_3
A1BG	0.923143663	0	1.039090291	4.43392879	0	2.183647204	4.582931748	0
A1BG-AS1	5.538861981	7.603629529	2.078180582	4.43392879	1.275064283	5.459118011	12.60306231	0
A1CF	0	0	0	0	1.275064283	6.550941613	1.145732937	0
A2M	0.923143663	0	7.273632036	8.86785758	0	8.734588817	2.291465874	0
A2M-AS1	0.923143663	0	5.195451454	2.955952527	3.825192848	0	1.145732937	2.023658977
A2ML1	0	0	2.078180582	0	0	2.183647204	1.145732937	1.011829489
A3GALT2	0	0	0	2.955952527	0	0	0	0
A4GALT	198.4758876	269.9288483	206.7789679	171.4452465	200.1850924	204.1710136	197.0660652	146.7152759
AAAS	1609.039405	1510.841187	1520.189095	580.8446715	703.8354841	611.4212172	658.2235723	995.6402168
AACS	1774.282121	1633.259623	1659.427194	1392.25364	1264.863769	1448.84992	1629.805103	1869.860895
AACSP1	0.923143663	2.281088859	1.039090291	0	2.550128566	0	0	0
AADAC	3.692574654	0	2.078180582	5.911905053	5.100257131	6.550941613	2.291465874	5.059147443
AADACL2	0	1.520725906	2.078180582	0	0	4.367294409	0.572866468	0
AADACL2-AS1	17.53972961	17.48834792	46.75906309	22.16964395	21.67609281	32.75470807	10.8844629	24.28390773
AADACL3	0.923143663	0	0	0	0	1.091823602	0	0
AADACL4	0	0	0	8.86785758	1.275064283	7.642765215	0	0
AADACP1	5.538861981	6.082903623	9.351812617	29.55952527	12.75064283	19.65282484	5.155798216	9.106465398
AADAT	60.00433813	60.82903623	50.91542425	51.72916922	75.22879269	53.49935651	53.84944804	52.61513341
AAGAB	3403.630687	3258.915616	3583.822413	6721.836046	6164.935807	5282.242587	1787.916248	4574.481118
AAK1	317.5614202	361.9327656	309.6489067	180.3131041	161.9331639	269.6804297	653.6406405	170.9991836
AAMDC	116.3161016	113.29408	107.0263	580.8446715	615.8560486	666.0123973	130.6135548	278.2531094
AAMP	1838.902178	1920.676819	1642.80175	2094.292365	1989.100281	1808.059885	1339.93467	2019.611659
AANAT	12.00086763	14.44689611	5.195451454	5.911905053	16.57583568	6.550941613	12.60306231	4.047317955
AAR2	1225.934785	1207.456369	1189.758383	1430.681023	1304.390761	1245.77073	789.4099936	1251.633077
AARS1	4576.946283	4667.107805	4507.573681	2233.222134	2356.318795	2585.43829	5987.027462	3412.900865
AARS2	204.0147496	241.0350561	154.8244533	51.72916922	58.65295701	45.85659129	314.5036912	113.3249027
AASDH	156.9344228	135.3446056	149.6290019	258.6458461	169.5835496	170.3244819	104.8345637	168.9755246
AASDHPPT	2627.266866	2313.784466	2564.474838	3340.226355	3223.362507	3211.053214	988.7675246	2670.21802
AASS	154.1649918	180.2060198	167.2935368	104.9363147	137.7069425	140.8452447	608.957056	135.5851515
AATBC	17.53972961	21.29016268	12.46908349	11.82381011	2.550128566	17.46917763	48.12078335	12.14195386
AATF	1017.304317	1035.614342	969.4712413	268.9916799	312.3907493	389.781026	985.9031922	562.5771957
AATK	21.23230426	23.57125154	41.56361163	4.43392879	5.100257131	9.82641242	29.78905636	11.13012437
ABALON	1233.319934	1287.294479	1342.504656	1206.028631	1263.588704	1410.636094	1076.988961	1689.755246
ABAT	92.31436635	105.6904505	87.28358443	57.64107427	57.37789273	63.32576893	217.1163915	104.2184373
ABCA1	0.923143663	9.124355435	6.234541745	2.955952527	3.825192848	3.275470807	13.17592877	6.070976932
ABCA10	12.00086763	9.884718388	6.234541745	32.51547779	5.100257131	18.56100124	4.582931748	3.035488466
ABCA11P	46.15718317	48.66322899	43.64179221	57.64107427	75.22879269	74.24400495	58.43237978	57.67428085
ABCA12	4.615718317	2.281088859	8.312722326	14.77976263	1.275064283	8.734588817	2.864332342	0
ABCA13	234.4784905	229.6296118	229.6389543	474.4303805	487.074556	445.4640297	545.9417445	414.8500903
ABCA17P	14.77029862	5.32254067	7.273632036	0	5.100257131	5.459118011	8.020130559	17.20110131
ABCA2	1139.159281	1291.856657	1265.611974	280.81549	311.115685	464.0250309	2132.781862	589.8965919
ABCA3	68.3126311	75.27593234	61.30632716	23.64762021	12.75064283	37.12200247	107.1260296	42.49683852
ABCA4	5.538861981	7.603629529	6.234541745	70.94286064	52.27763559	67.69306333	32.08052223	25.29573722
ABCA5	86.77550437	85.92101368	82.08813297	169.9672703	198.9100281	196.5282484	157.5382788	109.2775848
ABCA6	0	0	1.039090291	0	1.275064283	4.367294409	0.572866468	1.011829489
ABCA7	312.9457019	363.4534915	341.8607057	127.1059586	122.4061711	150.6716571	515.5798216	180.105649
ABCA8	2.76943099	7.603629529	2.078180582	23.64762021	33.15167135	31.66288446	27.49759049	16.18927182
ABCA9	2.76943099	0	0	0	0	3.275470807	0	0
ABCA9-AS1	2.76943099	0	0	0	0	0	0	0
ABCB1	0	2.281088859	2.078180582	7.389881317	1.275064283	3.275470807	1.145732937	3.035488466
ABCB10	750.5157984	672.1608504	643.19689	530.5934785	577.6041201	388.6892024	765.9224683	857.0195769
ABCB11	0	0	1.039090291	0	0	2.183647204	0	1.011829489
ABCB4	76.62092407	77.5570212	70.65813977	116.7601248	150.4575854	133.2024795	95.66870023	112.3130732
ABCB5	41.54146486	61.58939919	39.48543105	180.3131041	202.735221	171.4163055	19.47745993	43.50866801
ABCB6	1532.418481	1467.500499	1434.983692	412.3553775	524.0514202	488.0451502	764.7767354	819.5818858
ABCB7	638.8154151	610.5714512	654.6268832	928.1690934	961.3984692	837.4287029	331.1168188	588.8847624
ABCB8	766.2092407	777.0909379	733.5977453	449.304784	422.0462776	478.2187378	666.2437028	590.9084214
ABCB9	152.3187045	207.5790861	141.3162795	146.3196501	122.4061711	105.9068894	190.764534	208.4368747
ABCC1	3699.03666	3482.462324	3330.284382	350.2803744	479.4241703	645.2677489	3355.851772	1093.787677
ABCC10	180.0130144	198.4547307	162.0980854	107.8922672	114.7557855	110.2741838	386.6848662	186.1766259
ABCC11	3.692574654	3.041451812	7.273632036	0	0	4.367294409	11.45732937	6.070976932
ABCC12	0	0	0	0	0	0	0	4.047317955
ABCC2	89.54493536	119.3769836	120.5344737	72.4208369	85.42930695	50.2238857	233.1566527	112.3130732
ABCC3	306.4836963	302.6244553	249.3816698	175.8791753	279.2390779	229.2829565	618.1229195	307.5961645
ABCC4	706.2049026	574.0740294	686.8386822	469.9964517	422.0462776	410.5256744	418.7653885	514.0093802
ABCC5	676.6643053	628.0597991	681.6432308	598.5803866	649.0077199	664.9205737	1366.859394	629.3579419
ABCC5-AS1	0	1.520725906	2.078180582	0	3.825192848	1.091823602	0.572866468	0
ABCC6	1.846287327	1.520725906	0	0	3.825192848	6.550941613	5.155798216	2.023658977
