Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Xkr4,7,0,9,14,3,10
Rp1,0,0,0,0,0,0
Sox17,0,0,0,0,0,0
Mrpl15,1474,1294,1534,1252,757,1380
Lypla1,1626,2237,1911,1876,1447,1778
Tcea1,3771,4502,4234,3493,2279,3679
Rgs20,4,6,7,0,2,3
Atp6v1h,4582,4109,5175,3641,2893,4145
Oprk1,2,1,15,0,0,0
Npbwr1,0,0,0,0,0,0
Rb1cc1,1725,2501,1928,1850,2042,1595
Fam150a,5,1,4,2,9,1
St18,2,1,2,1,1,0
Pcmtd1,1114,1352,1317,872,1284,744
Sntg1,14,2,23,0,0,1
Rrs1,2338,1823,2555,1867,953,1899
Adhfe1,87,113,90,47,66,36
2610203C22Rik,11,31,15,8,16,10
3110035E14Rik,0,7,1,1,4,0
Mybl1,288,357,297,175,108,179
Vcpip1,1688,1936,1881,1805,1167,1586
1700034P13Rik,269,359,321,287,211,246
Sgk3,106,149,119,65,218,80
Mcmdc2,0,0,0,0,0,0
Snhg6,964,717,1034,686,525,953
Snord87,1,2,1,0,0,0
Tcf24,348,92,352,182,8,182
Ppp1r42,0,1,1,5,0,0
Cops5,2868,3119,3236,2834,2175,3427
Cspp1,438,597,496,528,254,471
Arfgef1,3311,3672,3890,3823,2113,3677
Cpa6,467,480,490,289,464,271
Mir467e,0,0,0,0,0,0
Prex2,116,55,148,1060,37,835
A830018L16Rik,0,2,3,0,0,5
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,3343,4214,3730,5237,2139,5060
Slco5a1,42,20,44,40,31,37
Prdm14,0,0,0,2,0,0
Ncoa2,1162,1471,1299,1243,918,1029
Tram1,4034,5036,4535,3426,3655,3442
Lactb2,1500,1580,1695,1651,1069,1760
Xkr9,1,2,2,0,0,4
Gm5523,1,5,1,2,0,10
Eya1,23,30,36,460,113,384
Msc,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0
Terf1,443,648,475,562,257,612
Sbspon,3,0,0,1,0,0
4930444P10Rik,0,0,0,0,0,0
Rpl7,18369,21075,20874,16804,12674,18416
Rdh10,426,384,470,368,214,402
Stau2,200,335,192,219,212,166
Ube2w,1098,1209,1251,878,873,992
Tceb1,2703,2604,2945,2303,1801,2615
D030040B21Rik,13,9,11,9,13,13
Tmem70,1466,1639,1752,1362,1260,1542
Ly96,158,197,222,115,106,171
Jph1,347,376,418,537,336,558
Gdap1,16,20,11,11,7,4
Pi15,36,1199,41,5,223,6
Crispld1,0,4,0,0,0,0
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0
Pkhd1,0,3,0,1,1,0
4930486I03Rik,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,0,0,0,0,0
Il17f,3,0,2,8,1,0
Mcm3,6856,8401,7834,7629,3690,7885
6720483E21Rik,8,1,5,3,2,4
Paqr8,280,288,306,285,248,295
Efhc1,62,75,45,44,39,47
Tram2,317,463,355,379,237,342
Tmem14a,201,231,212,194,162,199
Gsta3,31,23,27,0,15,2
Gm4956,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0
Kcnq5,0,1,0,2,0,1
Rims1,0,0,0,0,0,0
Rims1,0,0,0,0,0,0
4933415F23Rik,0,0,0,2,0,0
Mir30a,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0
Ogfrl1,73,148,62,84,103,117
B3gat2,724,988,968,749,741,775
Smap1,1961,2428,2286,1973,1964,1997
1110058L19Rik,467,427,499,366,348,493
Fam135a,745,763,874,761,433,717
Col9a1,0,0,0,0,0,0
Col19a1,0,0,0,1,3,1
Lmbrd1,1586,1813,1711,1590,1205,1701
Bai3,1,0,0,0,0,0
Gm20172,0,0,0,0,0,0
4931408C20Rik,2,0,4,0,0,1
Gm597,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Phf3,3349,3971,3641,3766,2480,3213
Ptp4a1,231,304,276,186,134,180
Gm13363,0,0,0,0,0,0
4931428L18Rik,3,0,2,0,0,0
Lgsn,2,0,2,0,0,0
Pih1d3,0,0,0,0,0,0
Gm4850,0,0,0,2,0,0
Khdrbs2,8,0,2,0,5,0
Gm9839,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0
Prim2,1053,1636,1282,1174,775,1274
1700001G17Rik,38,26,34,15,17,10
Rab23,603,1069,588,525,454,528
Bag2,941,1505,1097,1170,1064,1298
Zfp451,646,961,748,771,616,702
Gm15455,8,7,12,5,7,3
Bend6,217,228,275,183,130,136
Dst,6074,9134,6904,8282,7105,6716
Mir6896,0,0,0,0,0,0
Mir5103,0,3,0,0,0,0
Ccdc115,546,485,584,453,268,557
Imp4,1299,1005,1342,1209,583,1246
Ptpn18,5,12,2,29,3,26
Prss39,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
Amer3,0,0,0,0,1,0
AA619741,0,0,0,0,0,0
Arhgef4,74,47,60,47,45,23
Fam168b,5445,7263,6074,4987,4117,4855
Plekhb2,2317,4312,2501,2720,2580,2853
Mir7669,0,0,0,0,0,0
Hs6st1,1290,1885,1204,1198,1276,1206
Uggt1,3834,6753,4482,4161,5120,4008
Mir6897,0,0,0,0,0,0
Neurl3,64,93,52,227,78,254
Arid5a,342,252,344,199,156,212
Kansl3,1152,1733,1325,978,1053,941
Mir6898,0,0,0,0,0,0
Fer1l5,126,118,137,43,129,63
Lman2l,479,428,486,274,436,335
Cnnm4,546,454,597,450,469,380
Cnnm3,339,457,341,311,423,243
Ankrd23,30,56,21,22,35,17
Ankrd39,90,136,81,63,148,108
Sema4c,376,652,438,337,776,356
Fam178b,13,7,5,2,35,0
Cox5b,2531,2638,2793,1789,2731,2467
Actr1b,3150,3519,3209,2530,3097,2708
4933424G06Rik,2,2,4,2,4,1
Zap70,0,0,0,1,0,0
Tmem131,2319,3646,2400,3099,2131,2769
Cnga3,8,0,2,1,0,2
Inpp4a,204,395,230,214,334,212
Coa5,2195,2612,2347,1879,1713,1839
Unc50,692,975,689,445,892,591
Mgat4a,0,20,1,13,21,14
4930594C11Rik,1,0,0,2,0,2
2010300C02Rik,2,0,0,2,1,2
Tsga10,21,37,14,22,33,23
Lipt1,80,126,91,88,83,91
Mitd1,597,749,684,489,244,519
Mrpl30,1275,1438,1405,957,923,1049
Lyg2,0,0,0,6,4,2
Lyg1,0,0,0,0,0,0
Txndc9,1221,1649,1448,1242,1252,1363
Eif5b,3682,5478,3939,4300,4135,3887
Rev1,445,800,524,456,511,421
Aff3,332,946,336,617,159,609
Lonrf2,0,1,0,0,1,0
Chst10,0,188,0,2,1,1
Nms,0,0,0,0,0,0
Pdcl3,1173,1576,1223,1118,1711,1199
Mir6349,0,0,0,0,0,0
Npas2,4,3,0,0,5,0
Rpl31,5969,8058,6551,4176,6923,5763
Tbc1d8,116,144,153,102,150,113
Cnot11,710,1120,761,757,722,775
Snord89,2,2,1,4,0,0
Rnf149,888,895,929,626,976,608
Creg2,0,1,0,0,1,0
Rfx8,0,0,0,0,2,0
Gm3646,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0
Map4k4,5457,8008,5846,5531,5779,5065
Gm16894,1,1,2,1,1,1
Il1r2,7,4,12,4,8,8
Il1r1,207,799,238,182,248,176
Il1rl2,81,68,104,29,2,21
Il1rl1,137,5136,150,116,512,128
Il18r1,1,8,0,0,0,0
Il18rap,62,443,75,31,120,30
Slc9a4,2,2,0,0,0,2
Slc9a2,1,7,0,1,0,0
Mfsd9,67,133,82,59,79,40
Tmem182,0,0,0,0,0,1
4930448I06Rik,0,0,0,0,0,0
Pou3f3os,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0
2900092D14Rik,0,0,0,0,0,0
