""	"TR_AG_1"	"TR_AG_3"	"TR_SH_1"	"TR_SH_3"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1810011O10Rik"	500.475929269202	540.043719842022	143.612363592789	152.637263686605	334.192319097655	-1.81246337502492	0.182353611724795	-9.9392787336741	2.80853254594916e-23	0.00206135999420581
"A230050P20Rik"	191.238769720752	193.670851253691	22.8947246307345	20.0838504850797	106.972049022564	-3.16388737709985	0.349303532990877	-9.05770219387529	1.33227417720946e-19	0.0067523831505613
"Abca13"	386.546449435563	465.554930898295	8.32535441117617	8.03354019403186	217.115068734766	-5.70391190600764	0.414595529454242	-13.7577747485991	4.57389563580962e-43	2.00674843012624e-06
"Abcc3"	98.6710673559199	108.008743968404	528.660005109687	517.159149990801	313.124741606203	2.33786717809652	0.192644604868402	12.1356483338506	6.83663611569323e-34	5.06524283762059e-05
"Acsbg1"	877.867331218133	883.623258844964	282.021380678593	229.960088054162	568.368014698963	-1.78350161938269	0.150937886787608	-11.816129517517	3.22189407925945e-32	9.47310469661475e-05
"Adamts5"	2185.00466680944	2175.07263715683	4965.03323696519	4312.0026991466	3409.27831001952	1.08922077305897	0.0900007097571934	12.1023575924845	1.02620969768666e-33	5.40542471610059e-05
"Adamts7"	467.924649316734	470.210480207278	66.6028352894093	74.3102467947947	269.762052902054	-2.73429117049587	0.21483535562038	-12.7273798234935	4.1658572143057e-37	1.67124894338888e-05
"Adcy3"	755.800031396376	825.894447413575	134.246339880216	142.595338444066	464.634039283558	-2.51432702985396	0.166977328213028	-15.0578947259607	3.06389336413744e-51	1.10486720558293e-07
"Adcy7"	5313.99645224047	5195.59302882497	1336.21938299378	1378.75633580072	3306.14129996498	-1.95256259449708	0.0817252621124312	-23.8917874843999	3.72809253647481e-126	1.03494274082638e-13
"Adcyap1r1"	441.476734355353	404.10168001972	93.6602371257319	88.3689421343505	256.901898408789	-2.21570963366957	0.210908202026296	-10.5055640908328	8.14344678064216e-26	0.000866562440440813
"AI607873"	287.875382079643	324.026231905213	54.1148036726451	60.251551455239	181.566992278185	-2.41950118357477	0.252980106113544	-9.56399782079636	1.13293760871989e-21	0.00348191240147866
"Aif1l"	468.941876815248	478.590468963447	1717.10434730508	1685.03505569818	1087.41793719549	1.84396928427696	0.111790272410009	16.4948992834895	3.9922490446418e-61	3.11378392699642e-09
"Aim1"	945.004346120099	896.658796910116	3891.06251792346	3424.29650770608	2289.25554216494	1.99016394256414	0.0982261567328413	20.2610384928025	2.83910997626285e-91	1.03494274082638e-13
"Akap12"	1745.56238745112	1765.38429796633	6310.61864367154	5262.97301961512	3771.13458717603	1.72076341164358	0.0956993144732959	17.9809377017403	2.74805513426276e-72	5.75091807508699e-11
"Akap5"	78.3265173856272	56.797701569592	775.298629540781	680.8425314442	397.81634498505	3.43520752204185	0.2030386054334	16.9189869813633	3.25989326138979e-64	1.00513827160465e-09
"Akr1c18"	212.600547189559	193.670851253691	7.28468510977915	4.01677009701593	104.393213412511	-5.17376117414283	0.51618519838216	-10.0230715455588	1.20692634000682e-23	0.00184082659034405
"Akt3"	1046.72709597156	1120.1251637413	181.076458443082	207.867852520574	638.949142669129	-2.4774618377757	0.147345202802002	-16.8139972707821	1.92725988257918e-63	1.31473678727526e-09
