""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"0610005C13Rik"	1.0864678740519	16.4504816836557	4.96064195347512	4.42747034353699	4.88658444401668	0
"0610007P14Rik"	1065.82498444491	857.775116362049	1174.68001458291	954.119859032221	1034.97858524273	1095.95327337703
"0610009B22Rik"	558.444487262675	297.675382847104	575.434466603114	402.899801261866	505.272831511325	425.135870179394
"0610009L18Rik"	67.3610081912176	38.3844572618634	66.4726021765667	13.282411030611	46.9112106625602	26.7045144585047
"0610009O20Rik"	1612.31832509302	1063.01445927242	1569.54711407953	1275.11145893865	1024.2280994659	1221.99858162117
"0610010F05Rik"	953.918793417566	636.868648038672	976.254336443904	795.837794250774	729.078399047289	747.726404838131
"0610010K14Rik"	465.008250094212	654.102485992978	435.544363515116	655.265610843474	588.344767059609	701.794639969503
"0610011F06Rik"	617.113752461478	355.643746875224	589.324264072845	379.655581958297	549.252091507475	437.954037119476
"0610012G03Rik"	1336.35548508383	961.178144087885	1311.59373249882	959.654196961642	1256.82951900109	1152.56684402906
"0610012H03Rik"	0	0.783356270650273	0	0	3.90926755521335	1.06818057834019
"0610030E20Rik"	726.847007740719	627.468372790869	693.497745095822	573.35740948804	665.552801275072	588.567498665443
"0610031J06Rik"	4855.42492913793	5054.21465823556	4977.50813611694	4617.85156830908	5412.38093019288	4742.72176783043
"0610037L13Rik"	353.102059066867	495.864519321623	374.032403292024	437.212696424278	403.631875075778	537.294830905114
"0610038B21Rik"	411.771324265669	461.396843413011	409.749025357045	337.594613694695	495.499662623292	328.999618128777
"0610039K10Rik"	458.489442849901	784.922983191574	523.843790286973	489.235472960837	1129.77832345666	539.431192061794
"0610040B10Rik"	23.9022932291417	25.850756931459	25.7953381580706	36.5266303341802	18.5690208872634	42.7272231336075
"0610040F04Rik"	955.005261291618	645.485567015825	839.340618527991	681.830432904696	815.082285261983	630.22654122071
"0610040J01Rik"	2.17293574810379	0	1.98425678139005	0	0.977316888803337	4.27272231336075
"0610043K17Rik"	0	1.56671254130055	0	1.10686758588425	0.977316888803337	0
"1010001N08Rik"	212.947703314172	143.354197529	217.27611756221	160.495799953216	313.718721305871	150.613461545966
"1100001G20Rik"	0	0	0.992128390695025	0	0	0
"1110001A16Rik"	776.824529947106	705.803999855896	839.340618527991	687.364770834118	629.392076389349	834.249031683686
"1110001J03Rik"	302.038068986427	173.12173581371	252.000611236536	157.175197195563	267.784827532114	261.704241693346
"1110002L01Rik"	861.569024123154	407.345260738142	856.206801169806	432.785226080741	441.747233739108	395.226813985869
"1110004E09Rik"	824.62911640539	656.452554804929	868.112341858147	882.173465949745	483.771859957652	997.680660169734
"1110004F10Rik"	2562.97771488843	2283.48352894555	2396.98219191918	2318.8875924275	2404.19954645621	2443.99716324235
"1110006O24Rik"	127.116741264072	44.6513074270656	107.149866195063	44.2747034353699	97.7316888803337	59.8181123870504
"1110007C09Rik"	2265.28551739821	1844.02066111074	2204.50928412434	2470.52845169364	2705.21314820764	2920.40570118207
"1110008F13Rik"	3146.41096325429	2802.84873638668	3073.61375437319	3062.70261014171	4003.08997653847	3571.99585396958
"1110008L16Rik"	403.079581273254	292.191888952552	385.937943980365	415.075344706593	305.900186195444	429.408592492755
"1110008P14Rik"	811.591501916767	742.621744576459	815.52953715131	706.18151979415	871.766664812576	901.544408119117
"1110012L19Rik"	337.89150883014	383.844572618634	398.8356130594	315.45726197701	329.355791526724	332.204159863798
"1110017D15Rik"	1.0864678740519	0.783356270650273	0.992128390695025	3.32060275765274	0	1.06818057834019
"1110019D14Rik"	114.079126775449	97.9195338312841	101.197095850893	98.511215143698	107.504857768367	91.863529737256
"1110020A21Rik"	8.69174299241518	5.48349389455191	12.8976690790353	12.1755434447267	4.88658444401668	12.8181669400822
"1110025L11Rik"	1.0864678740519	0	0	0	0	0
"1110028F18Rik"	0	0	0	0	0	3.20454173502056
"1110032A03Rik"	195.564217329341	170.77166700176	202.394191701785	138.358448235531	174.939723095797	122.840766509121
"1110034G24Rik"	39.1128434658683	65.8019267346229	52.5828047068363	30.9922924047589	79.1626679930703	48.0681260253084
"1110036E04Rik"	1.0864678740519	0.783356270650273	0	0	0	0
"1110037F02Rik"	3060.58000120419	3181.99317138141	3078.57439632666	3560.79302378962	2520.50025622381	3498.29139406411
"1110038B12Rik"	1604.71304997465	1295.67127165555	1590.38181028412	1235.26422584682	1012.50029680026	1651.40717411393
"1110038F14Rik"	935.448839558683	686.220093089639	876.049368983707	877.745995606208	723.214497714469	988.067034964673
"1110046J04Rik"	104.300915908982	61.1017891107213	100.204967460198	74.1601282542446	78.1853511042669	86.5226268455551
"1110051M20Rik"	549.75274427026	658.80262361688	497.056323738207	492.55607571849	661.643533719859	462.522190421301
"1110054M08Rik"	223.812382054691	193.488998850617	219.2603743436	135.037845477878	177.871673762207	176.249795426131
"1110057K04Rik"	1731.82979123872	1377.14032380318	1768.96492060923	1381.37074718354	1251.94293455707	1401.45291878232
"1110058L19Rik"	507.380497182236	334.493127567667	495.072066956817	405.113536433634	340.106277303561	526.613025121712
"1110059E24Rik"	836.580263019961	812.340452664333	892.915551625522	987.325886608748	925.51909369676	1024.38517462824
"1110059G10Rik"	245.541739535729	229.52338730053	276.803821003912	209.197973732123	257.034341755278	217.908837981398
"1110059M19Rik"	39.1128434658683	15.6671254130055	26.7874665487657	23.2442193035692	2.93195066641001	24.5681533018243
"1110065P20Rik"	672.523614038124	611.801247377863	559.560412351994	415.075344706593	822.900820372409	544.772094953495
"1190002F15Rik"	438.933021116966	377.577722453432	506.977607645158	419.50281505013	502.340880844915	583.226595773742
"1190002N15Rik"	875.693106485829	1415.52478106504	904.821092313863	1292.8213403128	1083.8444296829	1270.06670764648
"1190003K10Rik"	1.0864678740519	0	0	0	0	0
"1190005I06Rik"	43.4587149620759	26.6341132021093	46.6300343626662	57.5571144659809	83.0719355482836	72.6362793271327
"1190007I07Rik"	151.019034493214	121.420221950792	126.000305618268	158.282064781447	80.1399848818736	166.636170221069
"1200014J11Rik"	928.930032314372	1069.28130943762	878.033625765097	1189.88265482557	962.657135471287	1231.61220682624
"1300002E11Rik"	107.560319531138	80.6856958769781	122.031792055488	97.4043475578138	92.845104436317	122.840766509121
"1300002K09Rik"	0	0.783356270650273	0	0	1.95463377760667	0
"1300017J02Rik"	4.34587149620759	3.13342508260109	0	2.21373517176849	5.86390133282002	3.20454173502056
"1500004A13Rik"	85.8309620500999	165.288173107208	117.071150102013	163.816402710869	129.983146210844	153.818003280987
"1500011B03Rik"	403.079581273254	249.890650337437	367.087504557159	185.953754428554	291.240432863394	271.317866898407
"1500011K16Rik"	224.898849928743	161.371391753956	189.49652262275	133.930977891994	233.578736423997	161.295267329368
"1500012F01Rik"	806.159162546508	615.718028731115	795.68696933741	587.746688104535	484.749176846455	952.817075879446
"1500015A07Rik"	192.304813707186	75.2022019824262	236.126556985416	66.4120551530548	106.527540879564	82.2499045321944
"1500015L24Rik"	2.17293574810379	0.783356270650273	0	0	3.90926755521335	3.20454173502056
"1500015O10Rik"	0	26.6341132021093	2.97638517208507	0	8.79585199923003	0
"1500017E21Rik"	8.69174299241518	18.0171942249563	11.9055406883403	29.8854248188747	8.79585199923003	11.7499863617421
"1600002D24Rik"	1.0864678740519	3.13342508260109	1.98425678139005	1.10686758588425	0	4.27272231336075
"1600002H07Rik"	687.734164274851	593.784053152907	615.119602230915	653.051875671706	504.295514622522	624.885638329009
"1600002K03Rik"	255.319950402196	234.223524924432	316.488956631713	312.136659219358	235.533370201604	366.385938370684
"1600012H06Rik"	1336.35548508383	1026.98007082251	1260.99518457338	836.791894928491	1449.36094609535	905.817130432478
"1600014C10Rik"	300.951601112375	394.028204137087	262.914023534182	266.755088198104	455.429670182355	358.908674322303
"1600014C23Rik"	0	0	3.9685135627801	0	1.95463377760667	1.06818057834019
"1600016N20Rik"	9.77821086646707	12.5337003304044	13.8897974697303	26.5648220612219	14.65975333205	30.9772367718654
"1600019K03Rik"	4.34587149620759	2.35006881195082	4.96064195347512	3.32060275765274	0	0
