	TR_AG_1	TR_AG_3	TR_SH_1	TR_SH_3
1810011O10Rik	500.4759293	540.0437198	143.6123636	152.6372637
A230050P20Rik	191.2387697	193.6708513	22.89472463	20.08385049
Abca13	386.5464494	465.5549309	8.325354411	8.033540194
Abcc3	98.67106736	108.008744	528.6600051	517.15915
Acsbg1	877.8673312	883.6232588	282.0213807	229.9600881
Adamts5	2185.004667	2175.072637	4965.033237	4312.002699
Adamts7	467.9246493	470.2104802	66.60283529	74.31024679
Adcy3	755.8000314	825.8944474	134.2463399	142.5953384
Adcy7	5313.996452	5195.593029	1336.219383	1378.756336
Adcyap1r1	441.4767344	404.10168	93.66023713	88.36894213
AI607873	287.8753821	324.0262319	54.11480367	60.25155146
Aif1l	468.9418768	478.590469	1717.104347	1685.035056
Aim1	945.0043461	896.6587969	3891.062518	3424.296508
Akap12	1745.562387	1765.384298	6310.618644	5262.97302
Akap5	78.32651739	56.79770157	775.2986295	680.8425314
Akr1c18	212.6005472	193.6708513	7.28468511	4.016770097
Akt3	1046.727096	1120.125164	181.0764584	207.8678525
Alcam	2275.537914	2178.797077	289.3060658	246.0271684
Als2cl	74.25760739	72.62656922	413.1457127	408.7063574
Amot	405.8737719	411.5505589	1015.693238	876.6600737
Amotl2	4965.08742	4799.871338	11253.79783	10888.45954
Angptl2	801.5752688	785.8567234	100.9449222	93.38990476
Angptl4	2143.298339	2101.514958	957.4157573	913.8151971
Ank3	281.7720171	281.1951783	743.0378812	743.1024679
Ano1	92.56770236	94.04209604	953.2530801	930.88647
Antxr2	4400.526159	4447.91181	2232.235651	2027.464706
Apobec3	157.6702623	138.7353694	535.9446902	560.3394285
Apobr	640.8533241	621.9813877	218.5405533	234.9810507
Appbp2	568.6301717	610.8080693	1786.82919	1619.762542
Arnt2	281.7720171	318.4395727	1069.808042	964.0248233
Asap2	1597.047173	1588.473424	608.7915413	583.4358566
Atf5	4220.476891	3920.903628	1948.132932	2100.770761
Atg16l2	60.01642241	84.73099742	351.7462239	368.5386564
Atoh8	206.4971822	218.8108175	1063.564026	889.7145765
B230206H07Rik	39.67187244	64.24658046	316.3634676	310.29549
B3gnt3	200.3938172	174.1175442	790.9086691	832.4756026
Bace1	1143.363708	1284.000499	576.530793	569.3771613
Bai2	302.1165671	292.3684966	41.62677206	41.17189349
Bcam	228.8761872	192.7397414	720.1431566	728.0395801
Bgn	42476.36866	43453.03503	11011.32188	10721.76358
Bhlhb9	999.934631	1050.291924	282.0213807	296.2367947
Bhlhe41	974.5039436	952.5253886	306.9974439	347.4506134
Bmp4	697.818064	609.8769595	3805.727635	3858.107678
Bnip3	990.7795836	991.6320028	384.0069722	451.8866359
Bves	89.51601987	87.52432701	329.8921685	352.471576
C3	6438.032838	6431.175815	1094.784105	953.982898
Camk2n1	423.1666394	401.3083504	105.1075994	117.4905253
Capg	4128.926416	4202.098806	1877.36742	2156.00135
Car13	466.9074218	530.7326212	1066.686034	1092.561466
Car8	249.2207371	250.4685528	13.52870092	10.04192524
Cck	722.2315239	632.2235962	4.162677206	14.05869534
Ccl5	511.6654318	489.7637873	1655.704859	1927.045454
Cd248	2306.054739	2213.248141	974.0664661	978.0835186
Cd24a	1028.417001	1052.154144	5336.552178	5188.662773
Cd55	1128.105296	1182.509524	518.2533121	469.9621014
Cd74	661.197874	662.0191117	261.2079947	227.951703
Cdca2	684.5941065	616.3947285	1404.903557	1328.54671
Cdh10	207.5144097	226.2596964	6.244015808	10.04192524
Cdr2l	2878.753821	2658.318655	1369.520801	1300.429319
Cebpa	467.9246493	418.9994378	135.2870092	106.4444076
Cep55	804.6269513	696.4701766	1498.563794	1523.360059
Cercam	476.0624693	420.8616575	66.60283529	103.43183
Cfh	702.9042015	719.7479232	157.1410645	173.7253067
Cldn15	2996.752211	2946.031603	1424.676274	1500.263631
Clmn	47.80969243	42.83105364	482.8705558	394.647662
Clu	544.2167117	556.8036974	1520.417849	1763.362073
Cmpk2	126.1362098	146.1842483	626.4829194	627.6203277
Col11a1	3519.607145	3646.226219	1175.956311	1109.632739
Col1a2	41999.28896	43376.68402	7054.697194	6977.129659
Col4a2	8230.38769	8283.153331	3747.450154	3514.673835
Col5a3	335.6850745	335.1995502	75.968859	61.25574398
Col8a1	1497.358878	1413.42477	446.4471303	372.5554265
Cp	2964.200931	3056.833676	1502.726471	1364.69764
Creb3l1	753.7655764	758.8545374	129.0429934	112.4695627
Csgalnact1	220.7383672	227.1908063	10.40669301	8.033540194
Ctla2a	1899.16374	2088.47942	877.2842211	935.9074326
Ctsk	2331.485427	2325.912435	433.9590987	470.9662939
Cxcl12	2050.730637	2113.619386	6563.501284	6771.270191
Cyb561	602.1986791	607.0836299	193.5644901	194.8133497
Daam2	735.4554814	707.643495	4328.143625	4049.90845
Deptor	197.3421347	163.8753357	653.5403213	611.5532473
Dhrs3	470.9763318	459.0371619	1098.946782	1030.30153
Dlc1	1648.925775	1642.477796	5033.717411	4535.937632
Dlgap5	1170.828851	1141.540691	2569.412505	2481.359727
Dmpk	1559.409755	1531.675723	412.1050434	427.7860153
Dnaja4	368.2363545	368.7195053	24.97606323	36.15093087
Dnm1	2039.541135	1815.664231	915.7889852	984.1086738
Dock8	866.6778287	801.685591	176.9137812	157.6582263
Dpt	1828.975042	1757.935419	272.655357	320.3374152
Dsel	568.6301717	600.5658609	130.0836627	140.5869534
Enpp5	28.48236996	48.41771281	501.6026033	495.0669145
Epb4.1l3	2.034454997	0.931109862	1588.061354	1468.12947
Epb4.1l4a	213.6177747	175.9797639	1080.214735	936.9116251
Eps8l2	248.2035096	225.3285866	1262.331863	1207.039414
Etv4	1441.411365	1471.153582	520.3346507	520.1717276
Eya1	23.39623247	33.51995502	478.7078786	385.6099293
F2rl1	520.8204792	504.6615451	1181.159657	1152.813018
Fam107b	1778.113667	1824.044219	5086.791545	5094.268676
Fam110c	650.0083716	629.4302666	208.1338603	178.7462693
Fam195b	1893.060375	1890.153019	864.7961895	923.8571223
Fam20a	262.4446946	276.539629	18.73204743	30.12577573
Fam69a	1387.498308	1432.046967	552.595399	605.5280921
Fam83h	383.4947669	346.3728686	1083.336743	1013.230257
Fancd2	462.8385118	503.7304352	1097.906113	1022.26799
Fbln1	3.051682496	4.655549309	306.9974439	351.4673835
Fgf7	359.081307	356.6150771	1358.073438	1295.408356
Fgfr1	3986.514567	3969.321341	1849.269349	1769.387228
Fhl1	938.9009811	951.5942788	3047.079714	3179.273532
Foxo6	631.6982766	560.5281368	1281.06391	1286.370624
Foxp2	666.2840115	703.9190555	1694.209623	1588.632573
Foxred2	948.0560286	929.2476421	297.6314202	275.1487516
Fras1	126.1362098	127.5620511	1002.164537	760.1737409
Fstl3	60.01642241	82.8687777	395.4543345	465.9453313
Gas6	11.18950248	2.793329585	2959.663493	2916.17509
Gas7	253.2896471	252.3307725	40.58610275	46.19285612
Gda	498.4414743	556.8036974	186.279805	171.7169216
Gfod1	1155.570438	1128.505152	568.2054386	485.0249892
Gfpt2	1593.99549	1456.255824	217.499884	195.8175422
Gnai1	185.1354047	243.9507838	657.7029985	653.7293333
Gpr153	654.0772815	634.0858159	160.2630724	167.7001516
Gprc5a	1866.61246	1868.737493	4250.093427	4421.459684
Gpsm3	742.5760739	720.679033	225.8252384	224.9391254
H2-K1	895.1601987	879.8988194	2030.345807	2268.470912
Hap1	1355.964256	1260.722753	278.8993728	318.3290302
Hapln4	326.530027	360.3395165	68.68417389	58.24316641
Has1	723.2487514	700.1946161	121.7583083	127.5324506
Havcr2	459.7868293	557.7348072	83.25354411	62.2599365
Hist1h1c	621.5260016	630.3613764	168.5884268	138.5785683
Hmha1	932.7976161	922.729873	1895.058798	2066.628215
Hpcal1	1467.85928	1463.704703	713.8991408	723.0186175
Hs3st1	1027.399773	1042.843045	420.4303978	433.8111705
Hspa1a	323.4783445	334.2684404	47.87078786	70.2934767
Htatip2	383.4947669	428.3105364	16.65070882	14.05869534
Id2	226.8417322	175.9797639	580.6934702	610.5490547
Ifi203	523.8721617	590.3236524	189.4018129	178.7462693
Ifi44	1161.673803	1220.685029	559.8800842	467.9537163
Ifi47	465.8901943	532.5948409	54.11480367	57.23897388
Ifit3	2835.013038	2986.069327	1212.379736	1164.863328
Igdcc4	324.495572	340.7862094	38.50476415	56.23478136
Igf1r	1445.480275	1527.951283	3251.050898	2721.361741
Igfbp4	26749.0143	25935.13409	11766.84779	12142.696
Igfbp7	7544.776356	6876.246329	1821.171277	2119.850419
Il17rd	13.22395748	11.17331834	181.0764584	174.7294992
Impact	973.4867161	986.0453436	2817.091799	2712.324008
Iqgap3	635.7671866	577.2881143	1452.774345	1420.932422
Iqsec1	1304.085653	1322.176004	2824.376484	2467.301032
Irgm1	5745.300912	5974.000873	2777.546365	2723.370126
Irgm2	2006.989855	2064.270564	807.5593779	747.119238
Itga3	4374.078244	4531.711697	12737.79225	11878.59337
Itgb3	710.024794	709.5057147	289.3060658	260.0858638
Itgb8	828.0231838	837.9988756	335.095515	315.3164526
Jam2	1028.417001	1054.016364	247.6792937	303.2661423
Kalrn	10.17227499	16.75997751	163.3850803	192.8049647
Kif2c	780.2134914	837.0677658	1652.582851	1626.791889
Klf2	1150.484301	1042.843045	446.4471303	500.0878771
Klf5	225.8245047	197.3952907	772.1766216	643.687408
Krt18	285.8409271	313.7840234	44.74877996	36.15093087
Krt19	94.60215736	105.2154144	1939.807578	2104.787531
Lama2	527.9410717	500.0059958	61.39948878	50.20962621
Ldhb	16.27563998	18.62219724	236.2319314	269.1235965
Ldlrad4	737.4899364	761.6478669	258.0859867	251.0481311
Lgals3bp	4737.228461	4912.535631	1936.68557	1911.982566
Lif	1217.621316	1310.071576	530.7413437	485.0249892
Llgl2	406.8909994	444.1394041	1212.379736	1053.397958
Lmo7	439.4422794	509.3170944	1645.298166	1501.267824
Loxl4	704.9386565	664.8124413	2102.151989	2027.464706
Lphn1	1981.559167	1769.108737	433.9590987	351.4673835
Lpl	605.2503616	591.2547622	2016.817106	1843.697475
Lrch2	303.1337946	289.575167	48.91145717	25.10481311
Lrp2	265.4963771	268.1596402	1010.489892	786.2827465
Lrp5	800.5580413	827.7566671	1771.219151	1552.481642
