Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Cancer,Organismal Injury and Abnormalities"	Abdominal carcinoma	2.90E-07	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RFTN1,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	121
"Cancer,Organismal Injury and Abnormalities"	Nonhematologic malignant neoplasm	6.63E-07	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,C7orf65,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,HSPB2,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	129
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Skin lesion	8.30E-07	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,C7orf65,CACNA1A,CRABP1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS9,DYDC2,EBI3,EMILIN2,ERG,FBP1,FLG2,FOSB,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HSD17B6,HSPB2,IL21R,IL31RA,ISM2,ITGB2,JPH2,KCNB1,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LRRC15,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,OTOP1,PIFO,RAET1G,RASL10A,RDH16,RFTN1,RFX8,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,STOML3,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	88
"Cancer,Organismal Injury and Abnormalities"	Carcinoma	2.08E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	127
"Cancer,Organismal Injury and Abnormalities"	Abdominal cancer	2.12E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RDH16,RFTN1,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	122
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Cutaneous melanoma	2.30E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,C7orf65,CACNA1A,CRABP1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS9,DYDC2,EMILIN2,ERG,FBP1,FLG2,FOSB,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,ISM2,ITGB2,JPH2,KCNB1,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LRRC15,MAP6,MOBP,MYH2,NMNAT2,NR4A3,OTOP1,PIFO,RASL10A,RDH16,RFTN1,RFX8,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,STOML3,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	83
"Cancer,Organismal Injury and Abnormalities"	Abdominal neoplasm	2.45E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RDH16,RFTN1,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	123
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities"	Skin tumor	3.12E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,C7orf65,CACNA1A,CRABP1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS9,DYDC2,EMILIN2,ERG,FBP1,FLG2,FOSB,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HSD17B6,HSPB2,IL21R,IL31RA,ISM2,ITGB2,JPH2,KCNB1,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LRRC15,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,OTOP1,PIFO,RAET1G,RASL10A,RDH16,RFTN1,RFX8,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,STOML3,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	86
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Erythrokeratodermia variabilis	7.57E-06	"GJB4,KRT83,LOR"	3
"Cancer,Organismal Injury and Abnormalities"	Extracranial solid tumor	7.92E-06	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,C7orf65,CACNA1A,CEND1,CRABP1,CRTAC1,CTSS,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS2,DHRS9,DNAJC12,DYDC1,DYDC2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,HSPB2,IHH,IL21R,IL31RA,INPP1,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MOBP,MUC1,MYH2,NMNAT2,NR4A3,ODAPH,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RTP4,RXRG,RYR3,SAA1,SCEL,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBD,UBE2QL1,ULBP2,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	129
