© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
H2AFB3 (includes others)	other	1.80E-05	DHRS2,DHRS9,LIPH,SAA1,TNFRSF9	 
IL12 (family)	group	1.57E-04	DDIT4,RAET1G,RAET1L,SH2D1B,ULBP2,ZBED2	 
SMARCA4	transcription regulator	1.94E-04	ACE2,AZGP1,CTSS,DHRS9,FBP1,HCP5,INPP1,LINC00589,MUC1,ODAPH,TNFRSF9,UBD,ULBP2	 
ERG	transcription regulator	3.67E-04	BIRC3,DAAM1,DYDC1,ERG,FOSB,GFRA3,RYR3	 
SB203580	chemical - kinase inhibitor	7.37E-04	CYP2J2,EBI3,FOSB,HSD17B6,KRT23,LOR,NR4A3,OLR1,TGM1,UBD	 
S100A9	other	7.53E-04	DDIT4,GFRA3,NR4A3,OLR1,RXRG,TNFRSF9	 
tributyrin	chemical drug	7.86E-04	AZGP1,BIRC3,DAPP1,OLR1	 
fluticasone propionate	chemical drug	8.50E-04	DDIT4,EBI3,FBLN5,HCP5,MUC1,OLR1	 
KCNE3	ion channel	9.31E-04	ACE2,FOSB,PLP1,RDH16	 
IL1B	cytokine	1.02E-03	BIRC3,CTSS,DAB2,DDIT4,EBI3,FOSB,LY96,MUC1,NR4A3,OLR1,PDCD1LG2,SAA1,TGM1,TNFRSF9,UBD	18 (3)
MYH10	enzyme	1.10E-03	LOR,TGM1	 
PDGF BB	complex	1.26E-03	DAB2,FBLN5,FOSB,NR4A3,OLR1,RXRG,RYR3,SLC7A7	 
IRAK4	kinase	1.63E-03	BIRC3,DAB2,FOSB,OLR1	 
F2	peptidase	1.67E-03	BIRC3,DAAM1,DHRS9,FOSB,NR4A3,PDCD1LG2,VTN	 
ciglitazone	chemical drug	1.71E-03	GPD1,MUC1,OLR1,TGM1	 
PRKCH	kinase	1.75E-03	LOR,TGM1	 
KMT2D	transcription regulator	1.83E-03	ADGRG2,EBI3,KRT23,LOR,TGM1,VTN	 
U0126	chemical - kinase inhibitor	1.87E-03	BIRC3,DAB2,DHRS2,FOSB,IHH,LOR,MUC1,NR4A3,RFTN1,RXRG	 
mycophenolic acid	chemical drug	2.13E-03	AZGP1,BIRC3,DAPP1,OLR1	 
lipopolysaccharide	chemical drug	2.14E-03	ACE2,AZGP1,BIRC3,CACNA1A,DDIT4,EBI3,FOSB,GPD1,IL21R,ITGB2,LOR,LY96,NR4A3,OLR1,PDCD1LG2,RASGRP3,RXRG,SAA1,STX11,TNFRSF9,ULBP2,VIPR2,VTN	 
STAT5A	transcription regulator	2.50E-03	BIRC3,CYP2J2,FOSB,OLR1,SLC7A7,SYTL2,TNFRSF9	 
ATF3	transcription regulator	3.31E-03	BIRC3,FBP1,HSPB2,TP53I3	 
DMRT1	transcription regulator	3.44E-03	ATP13A4,GFRA3,HOXD1,VSIG1	 
IFNG	cytokine	3.63E-03	ADGRG2,AZGP1,BIRC3,CRABP1,CTSS,EBI3,FBP1,FOSB,HCP5,IL31RA,ITGB2,LY96,MUC1,PDCD1LG2,RTP4,STX11,TGM1,UBD	18 (2)
PAF1	other	3.75E-03	BIRC3,RAET1L,ULBP2	 
dexmedetomidine	chemical drug	3.99E-03	DDIT4,FOSB	 
AR	ligand-dependent nuclear receptor	4.47E-03	ANKRD1,ATP13A4,AZGP1,CACNA1A,CEND1,DDIT4,GPD1,MUC1,SCEL	 
NUP62	transporter	4.55E-03	IHH,LOR	 
GSTP1	enzyme	5.03E-03	IL31RA,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,PRR9	 
OGA	enzyme	5.59E-03	ADGRG2,AZGP1,CRABP1,DAB2,FBP1,GFRA3,IL21R,VSIG1	 
S100A8	other	6.07E-03	DDIT4,GFRA3,NR4A3,OLR1,RXRG	 
IL18	cytokine	6.07E-03	DDIT4,RAET1G,RAET1L,ULBP2,ZBED2	 
calcimycin	chemical reagent	6.29E-03	DDIT4,DNAJC12,FOSB,MYH2	 
MCAT	enzyme	6.36E-03	LY96	 
PRDM4	transcription regulator	6.36E-03	ITGB2	 
TMPRSS2	peptidase	6.36E-03	ERG	 
RNF138	enzyme	6.36E-03	CACNA1A	 
CCDC22	other	6.36E-03	BIRC3	 
PF-4523655	biologic drug	6.36E-03	DDIT4	 
PRL-3 inhibitor I	chemical reagent	6.36E-03	ULBP2	 
UBE2K	transcription regulator	6.36E-03	UBD	 
CAMK2	group	6.36E-03	BIRC3	 
KCNA1	ion channel	6.36E-03	KCNB1	 
STXBP2	transporter	6.36E-03	STX11	 
ALDH1A3	enzyme	6.36E-03	OTOP1	 
silvestrol	chemical - endogenous non-mammalian	6.36E-03	MUC1	 
CR-1-31-B	chemical reagent	6.36E-03	MUC1	 
STXBP1	transporter	6.36E-03	STX11	 
EIF4A1	translation regulator	6.36E-03	MUC1	 
rheoswitch ligand 1	chemical reagent	6.36E-03	DNAJC12	 
methaneselenol	chemical - endogenous non-mammalian	6.36E-03	ULBP2	 
boric acid	chemical drug	6.36E-03	MUC1	 
cytisine	chemical drug	6.36E-03	FOSB	 
CBX7	other	6.40E-03	ANKRD1,CTSS	 
EMD	other	6.40E-03	LOR,TGM1	 
RELA	transcription regulator	6.77E-03	ANKRD1,BIRC3,FOSB,MUC1,NR4A3,OLR1,SAA1,UBD	 
CBX5	transcription regulator	6.88E-03	CYP2J2,OLR1,SLC7A7,SYTL2	 
RHO	G-protein coupled receptor	7.24E-03	CRABP1,CTSS,KCNB1	 
POU2F1	transcription regulator	7.50E-03	CYP2J2,DDIT4,OLR1,SAA1	 
Hif1	complex	7.57E-03	DDIT4,KCNB1,TNFRSF9	 
NR4A3	ligand-dependent nuclear receptor	7.91E-03	BIRC3,FBP1,MYH2	 
thapsigargin	chemical toxicant	7.91E-03	BIRC3,DDIT4,ITGB2,NR4A3,OLR1	 
MAP2K1	kinase	8.08E-03	ANKRD1,BIRC3,DAB2,MYH2,PLP1	 
cyclosporin A	biologic drug	8.12E-03	BIRC3,DDIT4,FOSB,IL31RA,LOR,MYH2,RFTN1,SMPDL3B	 
tetradecanoylphorbol acetate	chemical drug	8.31E-03	BIRC3,DAB2,DDIT4,EBI3,FOSB,IL31RA,ITGB2,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LOR,OLR1,PRR9,TGM1,ULBP2	 
MAP3K5	kinase	8.54E-03	LOR,TGM1	 
STAT1	transcription regulator	8.93E-03	CTSS,IL31RA,LY96,MUC1,PDCD1LG2,RTP4,UBD	 
IL22	cytokine	9.11E-03	GRPR,LOR,MUC1,SAA1	 
resolvin D2	chemical - endogenous mammalian	9.31E-03	ITGB2,LY96	 
CTLA4	transmembrane receptor	9.72E-03	EBI3,STX11,TENT5C	 
risperidone	chemical drug	1.01E-02	NR4A3,SLC18A3	 
dexamethasone phosphate	chemical drug	1.01E-02	DDIT4,GPD1	 
P38 MAPK	group	1.01E-02	ITGB2,KCNB1,MYH2,NR4A3,SLC18A3,TP53I3,ULBP2	 
lysophosphatidylcholine	chemical - other	1.05E-02	OLR1,PLP1,TNFRSF9	 
ZFPM1	transcription regulator	1.09E-02	IL31RA,KLHL6,SCIN	 
COMMD1	transporter	1.09E-02	BIRC3,DDIT4	 
calyculin A	chemical toxicant	1.18E-02	IL21R,NR4A3	 
EGFR ligand	group	1.27E-02	MUC1	 
glemanserin	chemical drug	1.27E-02	NR4A3	 
UBE2W	enzyme	1.27E-02	LOR	 
MYH1	enzyme	1.27E-02	MYH2	 
GPR34	G-protein coupled receptor	1.27E-02	ITGB2	 
IFI30	enzyme	1.27E-02	CTSS	 
DMPK	kinase	1.27E-02	HSPB2	 
PD 173958	chemical - kinase inhibitor	1.27E-02	LOR	 
SB 559457	chemical reagent	1.27E-02	DDIT4	 
chalcone-24	chemical reagent	1.27E-02	BIRC3	 
cation	chemical - other	1.27E-02	ITGB2	 
AGN 190299	chemical drug	1.27E-02	TGM1	 
isorhamnetin	chemical - endogenous non-mammalian	1.27E-02	OLR1	 
DMD	other	1.27E-02	ANKRD1,CTSS,GPD1,MYH2,SCIN	 
ADRB	group	1.30E-02	ANKRD1,DDIT4,KLHL6,NR4A3	 
HMGN1	transcription regulator	1.36E-02	AZGP1,FOSB	 
PRKAR2B	kinase	1.36E-02	BIRC3,NR4A3	 
CD40LG	cytokine	1.40E-02	BIRC3,DAPP1,EBI3,FOSB,IL21R,NR4A3,UBD	 
