© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TNF	cytokine	2.74E-13	AKAP12,AKR1B10,ANGPTL4,ARHGAP18,ARHGDIB,ATF3,BCYRN1,BIRC3,CARD16,CASP1,CASP10,CCDC80,CCN2,CCN5,CD274,CD83,CFLAR,CGB3 (includes others),CHST2,CITED2,CNN1,COL16A1,CRYAB,CTSS,DMD,DUSP4,DUSP5,EBI3,EFNA1,EMP1,ERG,FAS,FASN,FBXO32,FOSB,GBP3,GDF15,GPD1,GPRC5B,GTDC1,HBEGF,HDAC9,HLA-B,HOTAIR,HSPA1A/HSPA1B,ID3,IFI6,IFIT3,IL15RA,IL1B,IL1RN,IL21R,IL7R,INSIG1,ITGB2,KRT23,LAMP3,LGR5,LY96,MAFF,MMP28,MUC1,NCF2,NOCT,NR4A3,OAS1,OLFML2B,OLR1,PLA2G3,PLP1,RELB,RFTN1,RNASE7,RND1,SAA1,SCD,SERPINB8,SH3TC2,SOX2-OT,SREBF1,ST3GAL5,TFAP2C,TIMP3,TNFAIP2,TNFRSF9,TP53I3,TRPC1,UBD,VIPR2,XDH	179 (15)
SMARCA4	transcription regulator	2.32E-12	ACE2,AREG,ARHGDIB,AZGP1,CARD16,CASP1,CCN2,CTSS,DHRS9,DUSP4,EVA1A,FAS,FBP1,GJB5,GLI1,HCP5,HDAC4,HHIP,HKDC1,HLA-B,ID3,IL15RA,IL1B,IL7R,INPP1,LINC00589,LPXN,MAFF,MICB,MUC1,MXD1,ODAPH,PHLDA2,PMEL,RASSF1,SERPINB7,SERPINB8,SOX2,SPRY2,STAMBPL1,TMEM117,TMEM154,TNFRSF9,UBD,ULBP2	74 (3)
IFNG	cytokine	2.96E-12	ADGRG2,ANGPTL4,AREG,ATF3,AZGP1,BCYRN1,BIRC3,CASP1,CASP10,CCN2,CD274,CD83,CEACAM1,CFLAR,CIRBP,CRABP1,CTSS,CTSV,DBP,DUSP4,DUSP5,EBI3,EMID1,FAS,FASN,FBP1,FGF1,FOSB,GBP3,GDF15,GNG2,GPRC5B,HBEGF,HCP5,HDAC9,HLA-B,HMGCS1,HOTAIR,HSPA1A/HSPA1B,IFI35,IFI6,IFIT3,IL15RA,IL1B,IL1RN,IL31RA,IL7R,ISG20,ITGB2,LAMP3,LY96,MAFF,MTSS1,MUC1,NCF2,NEURL3,OAS1,PDCD1LG2,PMEL,RELB,RNASE7,RTP4,SLC7A11,SMAGP,SOX2-OT,SREBF1,STX11,TGM1,TIMP3,TNFAIP2,TRIM22,UBD,ZFX	194 (18)
lipopolysaccharide	chemical drug	1.86E-11	ACE2,ACVR2B,ANGPTL4,AREG,ATF3,AZGP1,BIRC3,CACNA1A,CASP1,CCN2,CD274,CD33,CD83,CEACAM1,CFLAR,CITED2,CLDN1,CRYAB,CSPG4,CTSV,DDIT4,DRAM1,DUSP4,DUSP5,EBI3,FAS,FASN,FBXO32,FOSB,FSTL1,GBP3,GPD1,HBEGF,HDAC9,HSPA1A/HSPA1B,ID3,IFI35,IFI6,IFIT3,IL15RA,IL1B,IL1RN,IL21R,IL7R,INSIG1,ISG20,ITGB2,KRT13,KRT4,LACC1,LAMP3,LOR,LY96,MAFF,MTSS1,MXD1,NCF2,NOCT,NR4A3,NRTN,OAS1,OLFML2B,OLR1,PAPSS2,PDCD1LG2,PROS1,RASGRP3,RELB,RXRG,SAA1,SLC44A1,SLC7A11,SLCO2A1,SREBF1,STX11,TIMP3,TKT,TNFAIP1,TNFAIP2,TNFRSF9,TRIM22,ULBP2,VAV1,VIPR2,VTN,XCR1,XDH	188 (16)
tributyrin	chemical drug	9.10E-11	AKAP12,ATF3,AZGP1,BIRC3,CCN2,CD274,CLDN1,DAPP1,HBEGF,HDAC4,ID3,IL1B,OLR1,TUFT1	 
lysophosphatidylcholine	chemical - other	3.60E-09	CD274,FADS2,FASN,HBEGF,HMGCS1,IL1B,INSIG1,MVK,OLR1,PLP1,SCD,SREBF1,TNFRSF9	146 (18)
PDGF BB	complex	3.95E-09	AKAP12,AREG,ATF3,CCN2,CNN1,CRYAB,DAB2,DUSP5,FASN,FBLN5,FHL1,FOSB,GDF15,HBEGF,HDAC4,HMGCS1,ID3,IL1B,NEXN,NR4A3,OLR1,RXRG,RYR3,SCD,SLC7A7,SREBF1,XDH	186 (21)
F2	peptidase	5.04E-09	ANGPTL4,BIRC3,CASP1,CCN2,CFLAR,DAAM1,DHRS9,DIO3,FHL1,FOSB,HBEGF,HDAC9,IL15RA,IL1B,MGLL,MTSS1,NCF2,NR4A3,PDCD1LG2,PROS1,RELB,TRPC1,TUBB3,VTN	211 (19)
IL1B	cytokine	5.70E-09	ACHE,ANGPTL4,ATF3,BCYRN1,BIRC3,CASP10,CCN2,CD274,CD83,CFLAR,CRYAB,CTSS,DAB2,DBP,DDIT4,DUSP5,EBI3,EFNA1,FAS,FOSB,GBP3,GDF15,HBEGF,HOTAIR,HSPA1A/HSPA1B,ID3,IFIT3,IL15RA,IL1B,IL1RN,ISG20,LY96,MUC1,NOCT,NR4A3,OLR1,PDCD1LG2,PLA2G3,RELB,RNASE7,SAA1,SLC7A11,SOX2-OT,SREBF1,TGM1,TIMP3,TNFAIP2,TNFRSF9,UBD,XDH	187 (14)
Interferon alpha	group	1.67E-08	ATF3,CASP1,CD83,CEACAM1,DDIT4,EMID1,FAS,FASN,GBP3,GLI1,HLA-B,HSPA1A/HSPA1B,IFI35,IFI6,IFIT3,IL15RA,IL1B,IL1RN,IL21R,IL7R,ISG20,LAMP3,MMP28,NABP1,OAS1,RTP4,SPRY2,TGM1,TRIM22,ULBP2,ZBED2	152 (16)
Salmonella enterica serotype abortus equi lipopolysaccharide	chemical toxicant	3.01E-08	AREG,BIRC3,CD274,CFLAR,EBI3,FJX1,GBP3,IL15RA,IL1B,IL7R,LAMP3,MAFF,MGLL,NOCT,OSGIN1,PHLDA2,RHOU,TEX14	162 (11)
