EntrezID	K70_1	K70_2	K70_3	K70MD_1	K70MD_2	K70MD_3	K70P10_1	K70P10_2	K70P10_3	NKO70_1	NKO70_2	NKO70_3
ABCA13	241.4754269	236.2350682	237.1920795	499.064422	512.4314744	468.0844826	564.2534094	520.6552593	432.6227893	306.1177828	331.1745039	291.4792314
ABCA4	5.704143941	7.822353253	6.439603969	74.62645563	54.99918966	71.1304851	33.15654872	32.90386397	26.37943837	4.001539644	5.341524257	1.88051117
ABCA8	2.852071971	7.822353253	2.146534656	24.87548521	34.87753491	33.27071077	28.4198989	38.7104282	16.88284056	0	6.409829108	4.701277926
ACBD7	77.00594321	98.56165099	113.7663368	317.1624364	328.6536943	316.6453853	242.7533031	270.3278236	189.9319563	90.034642	80.12286385	99.66709203
ACE2	1.901381314	7.040117928	3.219801984	65.29814868	80.48661901	60.8050921	24.86741154	21.29073551	21.1035507	1.000384911	3.204914554	1.88051117
ACER2	54.18936744	30.50717769	44.00396045	247.2001343	195.8507729	228.3059119	103.0221335	101.2922871	140.3386121	68.02617396	50.21032801	62.99712421
ACHE	10.45759723	13.29800053	16.09900992	76.18117346	52.31630236	92.92853699	34.9327924	56.7752947	36.93121372	6.002309467	17.09287762	6.581789096
ACSF2	183.4832968	191.6476547	153.4772279	363.8039712	346.0924618	395.8067316	531.688942	504.5259143	304.9463076	151.0581216	152.7675937	77.10095798
ACTBL2	132.1460013	141.5845939	132.0118814	1159.819498	1031.570167	1071.54634	264.6603085	307.7479042	534.9750102	200.0769822	201.9096169	174.8875388
ACTG1P17	6.654834598	12.5157652	15.02574259	38.86794564	59.02352061	37.85977433	24.86741154	37.4200806	35.87603619	4.001539644	8.546438811	11.28306702
ACVR2B	144.5049798	128.2865933	115.9128714	40.42266347	34.87753491	49.33243322	71.04974725	74.84016119	45.372634	74.02848342	110.0353997	113.7709258
ADAMTS14	2.852071971	0.782235325	8.586138625	20.21133173	20.12165475	25.23984955	59.20812271	69.67877077	21.1035507	1.000384911	3.204914554	1.88051117
ADAMTS17	42.78107956	45.36964887	25.75841588	155.4717826	163.6561253	160.6172244	130.25787	127.7444131	80.19349265	37.01424171	45.93710861	50.7738016
ADGRF4	0.950690657	0.782235325	2.146534656	157.0265004	109.9983793	76.86681455	114.8637581	102.5826347	109.7384636	6.002309467	4.273219405	4.701277926
ADGRG2	30.42210102	28.16047171	26.8316832	113.4944013	131.4614777	130.7883113	170.5193934	189.0359244	50.64852167	46.01770591	49.14202316	47.01277926
ADSS1	57.04143941	81.35247383	70.83564366	155.4717826	211.9480967	181.2680104	123.7449765	170.9710579	168.8284056	74.02848342	45.93710861	45.13226809
AKAP12	110.2801162	147.0602412	106.2534655	293.8416691	272.313061	430.2247083	893.4505717	980.0190074	197.318199	55.02117011	48.07371831	55.47507953
AKR1B10	11855.11249	10298.12806	11924.00002	4045.375782	3915.674015	3600.120359	2117.874549	2100.685904	4912.906602	4737.822939	4718.702528	4315.773136
AKR1B15	91.26630306	86.82812111	68.689109	27.98492086	33.53609126	17.20898833	11.24954332	20.00038791	20.04837316	39.01501153	42.73219405	26.32715638
AKR1C2	64475.84035	57121.95239	61365.13275	21599.69475	20981.52013	18446.88823	7271.34955	6679.484387	22389.81211	29380.30445	27263.13981	25490.32891
AKR1C3	4364.620806	4015.213925	4686.958422	2075.548297	2096.676425	1915.934034	473.0729005	430.9761007	2150.451816	2851.096997	2563.931643	2445.604777
