""	"K70_1"	"K70_2"	"K70_3"	"K70MD_1"	"K70MD_2"	"K70MD_3"	"K70P10_1"	"K70P10_2"	"K70P10_3"	"NKO70_1"	"NKO70_2"	"NKO70_3"
"ABCA4"	5.70414394143294	7.82235325278205	6.43960396889007	74.6264556323578	54.9991896597358	71.1304851028229	33.1565487185825	32.9038639735255	26.3794383718754	4.00153964448857	5.34152425658211	1.88051117034884
"ABCA8"	2.85207197071647	7.82235325278205	2.14653465629669	24.8754852107859	34.8775349061739	33.270710773901	28.4198989016421	38.7104282041476	16.8828405580003	0	6.40982910789853	4.7012779258721
"ACE2"	1.90138131381098	7.04011792750384	3.21980198444504	65.2981486783131	80.4866190142475	60.805092104026	24.8674115389369	21.2907355122812	21.1035506975003	1.00038491112214	3.20491455394927	1.88051117034884
"ADAMTS14"	2.85207197071647	0.782235325278205	8.58613862518676	20.2113317337636	20.1216547535619	25.2398495526146	59.2081227117545	69.6787707674657	21.1035506975003	1.00038491112214	3.20491455394927	1.88051117034884
"ADGRF4"	0.950690656905489	0.782235325278205	2.14653465629669	157.026500393086	109.998379319472	76.8668145465989	114.863758060804	102.582634740991	109.738463627002	6.00230946673286	4.27321940526569	4.7012779258721
"ADGRG2"	30.4221010209757	28.1604717100154	26.8316832037086	113.494401274211	131.461477723271	130.788311318094	170.519393409853	189.035924396921	50.6485216740008	46.0177059116186	49.1420231605554	47.012779258721
"ANKRD1"	1321.46001309863	1478.42476477581	1471.44950689138	7092.62272072534	7643.54591905304	7192.2098566064	9628.42491538551	10006.6456907722	5187.25276144558	2033.78252431132	2046.87209512227	2065.7415206282
"ARHGAP29-AS1"	1.90138131381098	0	4.29306931259338	96.3925051917955	154.266019777308	113.579322986766	11.2495433152333	8.38725944423199	43.2622789298757	5.00192455561072	4.27321940526569	0
"ARHGDIG"	5.70414394143294	10.1690592286167	20.3920792348186	158.58121821876	126.095703122321	127.346513651828	33.1565487185825	43.8718186313673	67.5313622320011	16.0061585779543	14.9562679184299	9.40255585174421
"ART5"	1.90138131381098	1.56447065055641	3.21980198444504	38.867945641853	36.2189785564114	47.0379014389635	10.6574620881158	10.9679546578418	33.7656811160006	3.00115473336643	2.13660970263284	0
"ASB2"	8.5562159121494	6.25788260222564	0	24.8754852107859	53.6577460094984	30.9761789963906	31.3803050372299	26.4521259395009	52.7588767437509	6.00230946673286	10.6830485131642	5.64153351104652
"ATP13A4"	0	0	0	10.8830247797188	8.04866190142475	8.03086122128646	7.69705595252808	6.45173803402461	10.5517753487502	3.00115473336643	0	3.76102234069768
"ATP6V0A4"	5.70414394143294	7.04011792750384	17.1722772503735	77.7358912837061	59.0235206104482	57.3632944377604	41.4456858982281	36.7749067939402	42.2071013950007	16.0061585779543	3.20491455394927	8.46230026656978
"AZGP1"	6.65483459833842	7.04011792750384	8.58613862518676	104.166094320166	115.364153920421	87.1922075453958	26.6436552202895	25.8069521360984	36.9312137206256	7.00269437785501	8.54643881053138	13.1635781924419
"BIRC3"	23.7672664226372	30.50717768585	13.9524752659285	217.660495594377	155.607463427545	187.004339867099	146.836144325151	149.680322389371	68.5865397668761	39.0150115337636	35.2540600934419	38.5504789921512
