Column 1,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3,Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Location,Type(s),Biomarker Application(s),Drug(s),Entrez Gene ID for Human,Entrez Gene ID for Mouse,Entrez Gene ID for Rat
ABCA4,5.704143941,7.822353253,6.439603969,74.62645563,54.99918966,71.1304851,33.15654872,32.90386397,26.37943837,4.001539644,5.341524257,1.88051117,ATP binding cassette subfamily A member 4,ABCA4,Plasma Membrane,transporter,unspecified application,,24,11304,310836
ABCA8,2.852071971,7.822353253,2.146534656,24.87548521,34.87753491,33.27071077,28.4198989,38.7104282,16.88284056,0,6.409829108,4.701277926,ATP binding cassette subfamily A member 8,ABCA8,Plasma Membrane,transporter,,,10351,27404,303637
ACE2,1.901381314,7.040117928,3.219801984,65.29814868,80.48661901,60.8050921,24.86741154,21.29073551,21.1035507,1.000384911,3.204914554,1.88051117,angiotensin I converting enzyme 2,ACE2,Plasma Membrane,peptidase,,"aspirin/lisinopril,hydrochlorothiazide/lisinopril,hydrochlorothiazide/moexipril,lisinopril,moexipril",59272,70008,302668
ADAMTS14,2.852071971,0.782235325,8.586138625,20.21133173,20.12165475,25.23984955,59.20812271,69.67877077,21.1035507,1.000384911,3.204914554,1.88051117,ADAM metallopeptidase with thrombospondin type 1 motif 14,ADAMTS14,Extracellular Space,peptidase,,,140766,237360,309837
ADGRF4,0.950690657,0.782235325,2.146534656,157.0265004,109.9983793,76.86681455,114.8637581,102.5826347,109.7384636,6.002309467,4.273219405,4.701277926,adhesion G protein-coupled receptor F4,ADGRF4,Plasma Membrane,G-protein coupled receptor,,,221393,78249,501106
ADGRG2,30.42210102,28.16047171,26.8316832,113.4944013,131.4614777,130.7883113,170.5193934,189.0359244,50.64852167,46.01770591,49.14202316,47.01277926,adhesion G protein-coupled receptor G2,ADGRG2,Plasma Membrane,G-protein coupled receptor,,,10149,237175,266735
ANKRD1,1321.460013,1478.424765,1471.449507,7092.622721,7643.545919,7192.209857,9628.424915,10006.64569,5187.252761,2033.782524,2046.872095,2065.741521,ankyrin repeat domain 1,ANKRD1,Cytoplasm,transcription regulator,,,27063,107765,27064
ARHGAP29-AS1,1.901381314,0,4.293069313,96.39250519,154.2660198,113.579323,11.24954332,8.387259444,43.26227893,5.001924556,4.273219405,0,,,,,,,,,
ARHGDIG,5.704143941,10.16905923,20.39207923,158.5812182,126.0957031,127.3465137,33.15654872,43.87181863,67.53136223,16.00615858,14.95626792,9.402555852,Rho GDP dissociation inhibitor gamma,ARHGDIG,Cytoplasm,other,,,398,14570,360500
ART5,1.901381314,1.564470651,3.219801984,38.86794564,36.21897856,47.03790144,10.65746209,10.96795466,33.76568112,3.001154733,2.136609703,0,ADP-ribosyltransferase 5,ART5,Extracellular Space,enzyme,,,116969,11875,259167
ASB2,8.556215912,6.257882602,0,24.87548521,53.65774601,30.976179,31.38030504,26.45212594,52.75887674,6.002309467,10.68304851,5.641533511,ankyrin repeat and SOCS box containing 2,ASB2,Nucleus,transcription regulator,,,51676,65256,299266
ATP13A4,0,0,0,10.88302478,8.048661901,8.030861221,7.697055953,6.451738034,10.55177535,3.001154733,0,3.761022341,ATPase 13A4,ATP13A4,Cytoplasm,transporter,,,84239,224079,288026
ATP6V0A4,5.704143941,7.040117928,17.17227725,77.73589128,59.02352061,57.36329444,41.4456859,36.77490679,42.2071014,16.00615858,3.204914554,8.462300267,ATPase H+ transporting V0 subunit a4,ATP6V0A4,Cytoplasm,transporter,,,50617,140494,296981
AZGP1,6.654834598,7.040117928,8.586138625,104.1660943,115.3641539,87.19220755,26.64365522,25.80695214,36.93121372,7.002694378,8.546438811,13.16357819,"alpha-2-glycoprotein 1, zinc-binding",AZGP1,Extracellular Space,transporter,unspecified application,,563,12007,25294
BIRC3,23.76726642,30.50717769,13.95247527,217.6604956,155.6074634,187.0043399,146.8361443,149.6803224,68.58653977,39.01501153,35.25406009,38.55047899,baculoviral IAP repeat containing 3,BIRC3,Cytoplasm,enzyme,diagnosis,birinapant,330,11796,78971
C11orf96,3.802762628,9.386823903,5.366336641,57.52455955,92.55961187,71.1304851,61.57644762,61.93668513,56.97958688,4.001539644,3.204914554,2.820766756,chromosome 11 open reading frame 96,C11orf96,Other,other,,,387763,620695,499839
C1QTNF2,8.556215912,6.257882602,4.293069313,46.64153477,48.29197141,51.62696499,37.89319854,26.45212594,34.82085865,9.0034642,17.09287762,14.10383378,C1q and TNF related 2,C1QTNF2,Extracellular Space,other,,,114898,69183,497886
C7orf65,0,0,0,46.64153477,12.07299285,34.41797666,4.14456859,12.90347607,6.331065209,1.000384911,5.341524257,4.701277926,chromosome 7 open reading frame 65,C7orf65,Other,other,,,401335,,
CA13,10.45759723,5.475647277,2.146534656,20.21133173,30.85320396,24.09258366,31.97238626,15.48417128,28.48979344,15.00577367,8.546438811,25.3869008,carbonic anhydrase 13,CA13,Cytoplasm,enzyme,,"acetazolamide,benzthiazide,chlorothiazide,chlorthalidone,hydrochlorothiazide,methazolamide,sulfacetamide,topiramate,trichloromethiazide",377677,71934,499566
CACNA1A,1.901381314,0.782235325,2.146534656,15.54717826,13.4144365,30.976179,22.49908663,14.19382367,14.77248549,0,1.068304851,0.940255585,calcium voltage-gated channel subunit alpha1 A,CACNA1A,Plasma Membrane,ion channel,,"bepridil,clevidipine butyrate,pregabalin",773,12286,25398
CEND1,133.096692,165.0516536,169.5762378,37.31322782,14.75588015,21.79805189,53.87939167,30.96834256,29.54497098,86.03310236,104.6938754,75.22044681,cell cycle exit and neuronal differentiation 1,CEND1,Other,other,,,51286,57754,
CRABP1,1.901381314,3.128941301,1.073267328,90.17363389,69.75506981,96.37033466,45.59025449,49.03320906,60.14511949,7.002694378,3.204914554,5.641533511,cellular retinoic acid binding protein 1,CRABP1,Cytoplasm,transporter,"diagnosis,unspecified application",,1381,12903,25061
CRTAC1,15.21105051,10.95129455,16.09900992,71.51701998,64.38929521,67.68868744,103.0221335,96.13089671,27.43461591,11.00423402,8.546438811,8.462300267,cartilage acidic protein 1,CRTAC1,Extracellular Space,other,,,55118,72832,171438
CTSS,3.802762628,4.693411952,0,21.76604956,29.51176031,19.50352011,13.61786822,16.77451889,18.99319563,2.000769822,2.136609703,0,cathepsin S,CTSS,Cytoplasm,peptidase,,,1520,13040,50654
CYP2J2,8.556215912,11.73352988,6.439603969,74.62645563,79.14517536,80.30861221,53.87939167,40.00077581,52.75887674,14.00538876,19.22948732,13.16357819,cytochrome P450 family 2 subfamily J member 2,CYP2J2,Cytoplasm,enzyme,,,1573,13110,65210
DAAM1,166.370865,214.3324791,160.9900992,1851.66893,1825.704808,1748.433214,1020.155954,1081.311295,503.3196841,220.0846804,256.3931643,270.7936085,dishevelled associated activator of morphogenesis 1,DAAM1,Cytoplasm,other,,,23002,208846,314212
DAB2,8.556215912,19.55588313,6.439603969,54.4151239,37.56042221,57.36329444,74.60223462,87.74363726,47.48298907,6.002309467,9.614743662,9.402555852,DAB adaptor protein 2,DAB2,Plasma Membrane,other,,,1601,13132,79128
