GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HOXA6,7.475198717,-6.117982851,1.42190728,-4.302659488,1.69E-05,4.52E-05
DHRS2,190.440748,-6.015759511,0.407715905,-14.75478251,2.87E-49,6.15E-48
TMEM200C,5.397428378,-5.651021482,1.503969248,-3.757404941,0.000171685,0.000415191
LOC105370363,5.13078801,-5.57742282,1.533161331,-3.637857744,0.000274915,0.000650815
RTEL1,5.110725671,-5.568334031,1.524739372,-3.651990716,0.000260215,0.000617956
LOC107986175,4.446098399,-5.375517629,1.574260818,-3.414629626,0.000638688,0.001444871
ZNF486,4.190954512,-5.275540532,1.6633921,-3.171555601,0.001516248,0.00326158
MIR3176,3.588773615,-5.05783172,1.689160487,-2.994287256,0.002750868,0.005720244
TMEM145,7.053649046,-5.027817365,1.430661821,-3.514329726,0.000440865,0.001017864
LOC107987397,3.402930301,-4.981618804,1.673932697,-2.975997071,0.002920377,0.0060471
LOC105373985,3.358711039,-4.977171765,1.71185419,-2.907474127,0.003643605,0.007433053
PCDHGB2,3.384795469,-4.974846384,1.669398945,-2.98002248,0.002882272,0.005972888
PCDHGB7,6.411418333,-4.885959038,1.464751026,-3.335692518,0.000850872,0.001891225
NAALAD2,3.106350489,-4.85088959,1.705626882,-2.844050854,0.004454394,0.008971717
CORO7,5.948960443,-4.789616744,1.458814196,-3.283226031,0.001026263,0.002258229
GNRH2,2.895278576,-4.76612236,1.819827482,-2.618996805,0.008818877,0.016885509
LOC107985230,2.915032784,-4.761572971,1.746469321,-2.726399436,0.006402946,0.012567643
FAM83E,2.909558394,-4.759948777,1.737908079,-2.738895592,0.006164595,0.012126883
LOC107987007,2.828213639,-4.734081086,1.895145646,-2.498003832,0.012489484,0.023352071
PCDHGA10,2.842493458,-4.729995515,1.750918272,-2.701437063,0.006904055,0.013473506
RBP3,2.718240689,-4.664591188,1.765339866,-2.642319067,0.008234045,0.015839032
LOC105378567,2.711910469,-4.661218069,1.777763155,-2.62195673,0.008742653,0.016751723
ANKRD63,5.434003924,-4.651040321,1.503183874,-3.094126009,0.001973936,0.004179634
H2AC21,2.677260182,-4.629640835,1.839726577,-2.516483098,0.011853259,0.022253204
MAMDC4,9.546108282,-4.612588414,1.244885232,-3.705231852,0.000211197,0.000506797
TAS1R3,5.226311751,-4.587458424,1.550759805,-2.958200496,0.003094408,0.006384277
LOC102723825,5.131760336,-4.569550247,1.497345157,-3.051768143,0.002274978,0.004780126
CCDC8,2.527778815,-4.56322622,1.890228469,-2.414113582,0.015773544,0.028966213
MCM8-AS1,2.506860646,-4.544033281,1.806459947,-2.51543539,0.011888547,0.022303577
PCDHB11,2.470590983,-4.525755535,1.835544174,-2.465620604,0.013677612,0.025400248
LCAL1,9.202596515,-4.509003217,1.254984948,-3.592874341,0.00032705,0.00076769
MIR4697HG,2.370803267,-4.463601892,1.846284278,-2.417613553,0.015622659,0.028711619
TMEM88B,2.356215319,-4.446602864,1.892715323,-2.349324702,0.018807498,0.034018898
LOC100128288,2.349885098,-4.442441087,1.875428936,-2.368760022,0.01784783,0.032433831
HLX-AS1,2.307285214,-4.418575935,1.865397819,-2.368704354,0.017850516,0.032435919
LINC02520,2.274870564,-4.416912149,1.976606237,-2.234593854,0.025444025,0.044854952
CDHR5,2.267468667,-4.406199068,1.94074503,-2.270364731,0.023185463,0.041221205
LOC105375120,4.643744077,-4.404986883,1.555995742,-2.830976181,0.004640618,0.009321881
LOC107987172,2.219302109,-4.359370667,1.985634871,-2.195454326,0.028131024,0.049099833
LAT,4.471773866,-4.35461486,1.614516063,-2.69716416,0.006993279,0.013621174
C11orf42,2.195692887,-4.345658835,1.926021766,-2.2562875,0.024052632,0.042604981
DRD4,2.15502051,-4.330942843,1.893089999,-2.287763839,0.022151278,0.039519063
PCDHGA12,2.149546119,-4.328196601,1.97033647,-2.196678925,0.028043385,0.04897901
THEM4,8.16035941,-4.325464392,1.269041446,-3.408450059,0.00065333,0.001476097
LOC107985322,2.159423224,-4.32460601,1.945548657,-2.222820793,0.026227886,0.046102
C16orf86,2.12229773,-4.300799816,1.902784035,-2.260266922,0.02380469,0.042218959
FAM83A,2.12229773,-4.300799816,1.902784035,-2.260266922,0.02380469,0.042218959
PCDHGB5,2.067893235,-4.268257161,1.923672003,-2.218807133,0.026499849,0.04652965
SREBF1,2402.826314,-4.263881935,0.128007504,-33.3096249,2.80E-243,7.39E-240
LOC105373027,4.145162329,-4.230909327,1.612417252,-2.623954391,0.008691542,0.01666287
PCDHB13,14.8848443,-4.165300034,0.923036236,-4.512607276,6.40E-06,1.78E-05
PSPN,3.755980852,-4.080764799,1.617477024,-2.522919794,0.011638494,0.021886259
LOC105376514,6.893291511,-4.061704089,1.321678829,-3.07314001,0.002118191,0.004468936
LOC105378728,13.3370937,-4.037785208,0.948974985,-4.25489109,2.09E-05,5.57E-05
LOC107986452,6.585025832,-4.033050894,1.31460052,-3.067890841,0.002155753,0.00454455
WSCD2,33.20119812,-4.021691107,0.639697524,-6.286863639,3.24E-10,1.23E-09
CDH4,140.7457405,-4.02087368,0.301746272,-13.32534667,1.65E-40,2.49E-39
CNKSR1,3.523942067,-4.004326663,1.718709035,-2.329845588,0.019814314,0.035693846
FLJ46875,3.510020564,-3.998134761,1.659566323,-2.409144308,0.015989974,0.029338126
KCNAB3,3.512711617,-3.990635943,1.652661842,-2.414671798,0.015749394,0.028924381
IL21R,29.75022346,-3.980072457,0.628297103,-6.334698084,2.38E-10,9.12E-10
LOC107987251,3.510973496,-3.979481886,1.639408821,-2.427388358,0.015207967,0.028020267
FREM2,12.49523916,-3.95436317,0.952054765,-4.153503892,3.27E-05,8.56E-05
CDHR2,3.431296822,-3.935741629,1.733143873,-2.270868385,0.023154947,0.04117389
SPRED3,6.10983746,-3.890174764,1.336257525,-2.911246291,0.003599901,0.00734887
CYP4F3,23.94435974,-3.877118655,0.669133298,-5.794239599,6.86E-09,2.39E-08
CTAGE9,3.268083336,-3.870529843,1.696019322,-2.282126031,0.022481901,0.040068258
LOC107986035,11.9681699,-3.86626283,0.958317572,-4.034427568,5.47E-05,0.000139787
LINC00641,27.3718707,-3.860539183,0.654393156,-5.89941864,3.65E-09,1.30E-08
ADGRG3,6.08170678,-3.845308024,1.322588507,-2.907410735,0.003644343,0.00743384
LOC105376039,3.20016257,-3.840240182,1.727786947,-2.222635256,0.026240405,0.046108639
GNAO1,72.80699349,-3.828913208,0.386192248,-9.914526323,3.60E-23,2.74E-22
SPIB,3.165463581,-3.823869851,1.664777359,-2.29692567,0.02162301,0.038651772
SCD,13190.552,-3.770213619,0.08031493,-46.94287381,0,0
AMER1,53.97977084,-3.767818454,1.05123495,-3.584183018,0.000338135,0.00079221
LOC107985216,3.025003487,-3.762327224,1.692483799,-2.222962031,0.02621836,0.046096776
IGF2,18.92374291,-3.711025718,0.748301312,-4.959266619,7.08E-07,2.13E-06
LOC107984344,10.44978637,-3.704043237,1.001279234,-3.699310954,0.000216186,0.00051806
RASAL1,16.15588146,-3.686075218,0.779361126,-4.729611341,2.25E-06,6.50E-06
LOC112268182,25.99842378,-3.683686791,0.658560112,-5.593546779,2.22E-08,7.53E-08
FLG2,8.164185716,-3.676749238,1.130933765,-3.251073892,0.0011497,0.002515676
WFIKKN1,5.626272617,-3.676358137,1.358775129,-2.705641322,0.006817263,0.013320146
GNAZ,125.5138052,-3.614666132,0.301508573,-11.98860149,4.08E-33,4.73E-32
GLI1,87.07936231,-3.60760307,0.362370983,-9.955551737,2.38E-23,1.83E-22
LOC105373581,98.63296013,-3.597109434,0.316063196,-11.38098166,5.20E-30,5.31E-29
LOC101928421,5.030399699,-3.583626635,1.36992342,-2.615932089,0.008898425,0.017030093
IL11RA,5.304371923,-3.579752683,1.38896522,-2.577280289,0.009958117,0.018924278
DIAPH2,57.05375121,-3.574841643,0.428115615,-8.35017812,6.82E-17,3.78E-16
FAM189A1,4.903314891,-3.574191666,1.398535106,-2.555668178,0.010598413,0.020061588
PVRIG,4.721777188,-3.565865562,1.458982898,-2.444076326,0.014522354,0.026869666
HEYL,25.18852788,-3.564972148,0.633681816,-5.625807867,1.85E-08,6.28E-08
LINC01963,20.12386297,-3.56410748,0.714593958,-4.987598117,6.11E-07,1.85E-06
TEX19,47.18268202,-3.55860742,0.460859729,-7.721671472,1.15E-14,5.71E-14
NPIPB4,6.813704271,-3.522224072,1.228387172,-2.867356607,0.004139163,0.008371966
SDK2,224.5464133,-3.512423663,0.212743806,-16.51011012,3.10E-61,9.85E-60
HOXC4,30.55687013,-3.496085601,0.59585233,-5.867369191,4.43E-09,1.56E-08
LOC107985728,74.8305123,-3.483177899,0.378707387,-9.197544112,3.66E-20,2.43E-19
RNF157-AS1,11.05005915,-3.478139811,0.983050927,-3.538107452,0.000403006,0.000934237
EGFR-AS1,115.2741036,-3.469761115,0.304756175,-11.3853677,4.95E-30,5.06E-29
LINC01521,79.69684146,-3.461525304,0.379537239,-9.120383847,7.49E-20,4.88E-19
ZNF469,776.8333101,-3.45602602,0.152975686,-22.59199553,5.19E-113,7.61E-111
FOXP3,9.031054984,-3.422837715,1.094227806,-3.128085117,0.001759492,0.003752303
FAT2,1164.21223,-3.412766428,0.147579129,-23.12499365,2.60E-118,4.45E-116
LOC107985734,4.398138373,-3.40981006,1.423046517,-2.396133942,0.016569034,0.030321477
HDAC4,137.6743288,-3.409017318,0.276697159,-12.32039149,7.04E-35,8.79E-34
MAP2K6,35.72393818,-3.407506961,0.518338107,-6.573907873,4.90E-11,1.96E-10
MROH6,37.19569444,-3.399198759,0.502262016,-6.767779871,1.31E-11,5.42E-11
NWD1,10.81081298,-3.398179115,0.932907698,-3.642567343,0.000269932,0.000639952
CAMKK1,168.833158,-3.371200313,0.2527703,-13.33701117,1.41E-40,2.14E-39
ARHGAP35,639.4390179,-3.360474892,0.152103699,-22.09331468,3.66E-108,4.66E-106
PER3,79.43240624,-3.354088829,0.352035497,-9.527700644,1.61E-21,1.14E-20
SALL1,4.287807108,-3.334815664,1.49206785,-2.235029503,0.025415412,0.044811999
LOC102546229,16.29393129,-3.322966136,0.765700398,-4.339773289,1.43E-05,3.84E-05
ANO9,4.131498005,-3.310773144,1.43475283,-2.307556448,0.021023819,0.037666858
NEAT1,246.5126466,-3.307268255,0.222338226,-14.87494215,4.79E-50,1.06E-48
PALM3,91.74407653,-3.273965978,1.008954222,-3.24491033,0.001174876,0.00256757
SLITRK4,18.49773988,-3.268809802,0.720368933,-4.537688472,5.69E-06,1.59E-05
SNORD96A,6.617773729,-3.267765649,1.220901521,-2.676518616,0.007439143,0.014430994
