""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AAAS"	1007.39850771276	-1.30541328994631	0.105031548353383	-12.4287731677933	1.82412327828405e-35	0.00802931737533874
"AAMDC"	336.98730331349	2.45274870386856	0.151104799858932	16.2321031903578	2.99035228158828e-59	0.000240950502847561
"ABCB6"	903.543715188079	-1.65074250300366	0.11186795861595	-14.7561689998363	2.80783641894861e-49	0.00105661587426582
"ABCC1"	1850.73506395319	-2.8421336927175	0.150379783743579	-18.8997059442763	1.14689926335711e-79	1.15211881566922e-05
"ABCG2"	1054.77958642903	2.45391094113854	0.117267121384016	20.9258222780338	3.11643264573562e-97	8.37184411539982e-07
"ABHD10"	3979.94568942692	1.78672048143247	0.0919104322157185	19.439800666359	3.55544438825946e-84	5.77198322709467e-06
"ABHD3"	822.342316737355	1.47040216612851	0.1118583478961	13.1452161933797	1.81286645236713e-39	0.00430058403185246
"ABRACL"	2327.61822339541	1.91830646178927	0.0926206846635119	20.711426057348	2.73246604858909e-95	1.11306867688688e-06
"ACAA1"	1180.98861494245	1.24856159669375	0.0893824529625497	13.968755111441	2.41816543613658e-44	0.00211021985697996
"ACAA2"	1048.5940586845	1.42645433430952	0.101113062812197	14.1075178086432	3.4138397172769e-45	0.00186317550936486
"ACACA"	858.047250683857	-2.10414927349544	0.11551852480499	-18.214821190346	3.93701471472593e-74	2.6074427357775e-05
"ACO2"	2476.97283716761	-1.27197252041192	0.0848070997066322	-14.9984202361828	7.51876348276291e-51	0.000836261021812838
"ACOT8"	904.192159089707	1.67215273360525	0.123973047005082	13.4880344881474	1.83939034067745e-41	0.0032217780191024
"ACOT9"	3261.82796054824	1.28084365285891	0.0860577130881567	14.8835427632946	4.2157191449876e-50	0.000933001730673692
"ACP1"	5539.07489913065	1.02658054943481	0.0712033741096958	14.4175829062997	4.01146634576638e-47	0.00143146933041814
"ACSL3"	2228.1617864252	-1.32211899610264	0.0919393653514303	-14.3803363341585	6.87595896037886e-47	0.00148596665990884
"ACTBL2"	535.522170733908	2.95926085603848	0.1316505345622	22.4781529819033	6.79063877468411e-112	8.68267397337089e-08
"ACTR10"	2179.63801982479	1.29688379219481	0.0918136424893988	14.12517526842	2.65737887521033e-45	0.00184037928545021
"ADA"	1092.65132216309	1.31906437484482	0.0935719217943513	14.0967968761378	3.97402217881035e-45	0.00187475260541036
"ADAM23"	586.426594923857	-2.05234182763468	0.119286663876708	-17.2051238666204	2.43056511284265e-66	8.3073256435953e-05
"ADAM9"	2301.68670218769	-1.19674225960739	0.0974426050004653	-12.2815093008	1.13854182649302e-34	0.00901790144577507
"ADAP1"	1367.04535389043	-1.18399755582986	0.0924566636330756	-12.8059731911664	1.51810544350375e-37	0.00581919424678345
"ADCY3"	1077.83934302444	-1.94611358152089	0.106554429462799	-18.2640326763734	1.60023635990229e-74	2.45814131442498e-05
"ADD1"	1332.16716461513	-1.26038848427255	0.0931225500154391	-13.5347290646958	9.75414126402684e-42	0.00309877107287656
"ADGRL1"	756.055224246708	-2.63543924265938	0.178198239343372	-14.7893674616006	1.71558462406439e-49	0.00102062125478498
"ADGRL2"	768.6494065314	-2.90880940246548	0.122012737607703	-23.8402109443517	1.27939953778968e-125	1.20668215910619e-08
"ADH5"	8396.19278961641	1.17577789365615	0.0893345943220581	13.1615070575838	1.46141482943029e-39	0.00424124169625564
"ADI1"	10980.6680385879	1.78524639096454	0.0815810896460307	21.8830907837893	3.76446476742377e-106	2.16246987004646e-07
"ADNP"	658.002484337053	-2.16291924429836	0.131889081802231	-16.3995322034441	1.92716281881151e-60	0.000199764034541865
"ADRB2"	704.634932018895	2.02803170806324	0.11419130993235	17.7599478389792	1.4436867149213e-70	4.4054174339785e-05
"ADSL"	7965.32099447729	1.11826109670328	0.0905368001002027	12.3514537234101	4.78390818433618e-35	0.00852523348016761
"AFG3L2"	950.876884212993	-1.21155245893069	0.098398861118152	-12.3126674959777	7.74213139417101e-35	0.00880091851505497
"AFMID"	2530.49229452492	1.30276567735357	0.0821205587341877	15.8640625129017	1.12383062902055e-56	0.000353872541194354
"AGAP3"	871.231736043648	-1.83884044332743	0.126391766518137	-14.5487359974794	5.94921658006485e-48	0.00127477651415822
"AGPAT3"	729.980331272596	-1.90823415595206	0.117101955881332	-16.2954934577337	1.06242705976894e-59	0.00022366901119562
"AIMP2"	5967.38153671556	1.034378398724	0.0644758168958774	16.0428893889693	6.41013280953126e-58	0.000295459575732946
"AK1"	1610.82491275414	1.21914475147733	0.0903194994356149	13.4981345013588	1.60386015670124e-41	0.00320079086830068
"AKR1B10"	6793.16931438092	-1.60415691865791	0.083291832602577	-19.2594744110394	1.17565783297457e-82	7.26928365638797e-06
"AKR1C2"	36323.3107073001	-1.6285266197618	0.0802956660752099	-20.281625389799	1.86853762897462e-91	1.94112428996742e-06
"AKR1C3"	2845.61857962602	-1.14630719668435	0.0861630394325543	-13.3039317581368	2.19609419475385e-40	0.00378782597096088
"AKR7A2"	3607.88917099366	1.12416963226882	0.0796554693974829	14.1128994753541	3.16300830700722e-45	0.00185817978735251
"ALCAM"	1152.52718270293	-2.53928218308703	0.108451172583096	-23.4140592730007	3.07334506869439e-121	2.33540555450922e-08
"ALDH18A1"	2784.49078213112	-1.45452406884231	0.0766220826021507	-18.9830923337691	2.35328936321936e-80	1.02935760573689e-05
"ALDH3B1"	704.397403850836	-1.53781311882564	0.11361886586891	-13.5348395450446	9.73948787058074e-42	0.00309877107287656
"ALDH9A1"	2672.70234486123	1.21204520004055	0.0808060759241681	14.9994314929732	7.405086232849e-51	0.000836261021812838
"ALKBH1"	623.763567684677	1.49838629153977	0.123199968688209	12.1622294834493	4.93920210933065e-34	0.00983600667829059
"ANAPC13"	2903.98156396282	1.59321973943031	0.0839834925262633	18.9706297214548	2.98311623194333e-80	1.04570365902821e-05
"ANKRD1"	3830.75747439516	2.31520469772304	0.0802758998015851	28.8405947917799	6.64818648526712e-183	1.55993736446665e-12
"ANKRD37"	248.292551569965	2.28045792661591	0.169070382941522	13.4882164867673	1.83485601240156e-41	0.0032217780191024
"ANKRD52"	1895.78355515012	-1.78965464053108	0.141574146747577	-12.6411119660286	1.25269704971851e-36	0.00669813988100462
"ANO2"	310.067936931569	2.19465590900963	0.151634552930525	14.473323306563	1.7862866180613e-47	0.00135732043818909
"ANP32A"	3040.66213372053	-1.48314504178778	0.079358380229141	-18.689205065745	6.06093480238109e-78	1.49314356202674e-05
"ANP32B"	3105.25572568568	-1.29513199415711	0.0801445100729674	-16.1599589663467	9.66259655767243e-59	0.000259480343998176
"ANP32E"	1042.6691793594	-1.2814463983186	0.0971269927302076	-13.1935146172816	9.56210990656442e-40	0.00413599458437418
"ANXA1"	27756.1470203212	1.80680953736996	0.081406908380253	22.1947937014181	3.85616246361772e-109	1.32306901031509e-07
"ANXA4"	3508.06581852731	1.44308756840854	0.0864060756158746	16.7012279879937	1.28394898503058e-62	0.000143094344034689
"ANXA5"	8304.14820452891	1.00053779601689	0.0688153386265112	14.5394590215884	6.81289230379921e-48	0.00127996143406889
"AP2S1"	4750.54838280312	1.19423967096152	0.0762534515767062	15.6614506788613	2.7749467067863e-55	0.00043697778834092
"AP3S1"	2207.66475535005	1.12593476147833	0.0773302086124218	14.5600895391541	5.03917578106714e-48	0.00126291943683904
"AP5B1"	608.754743676745	-1.75238595573596	0.128642307687377	-13.6221588934378	2.95695505633743e-42	0.00285689802860799
