""	"x"
"1"	"AAAS"
"2"	"AASDHPPT"
"3"	"AASS"
"4"	"ABCC5"
"5"	"ABL1"
"6"	"ABL2"
"7"	"ABR"
"8"	"ABT1"
"9"	"ACAT2"
"10"	"ACOT13"
"11"	"ACP1"
"12"	"ACSBG1"
"13"	"ACSF2"
"14"	"ACTB"
"15"	"ACTL6A"
"16"	"ADAP1"
"17"	"ADGRG2"
"18"	"ADH5"
"19"	"ADK"
"20"	"ADM"
"21"	"ADSL"
"22"	"AFF4"
"23"	"AHCTF1"
"24"	"AHCY"
"25"	"AHR"
"26"	"AIG1"
"27"	"AIMP2"
"28"	"AK2"
"29"	"AKAP12"
"30"	"AKAP13"
"31"	"AKIRIN2"
"32"	"AKR1A1"
"33"	"AKR1B1"
"34"	"AKR1B10"
"35"	"AKR1C1"
"36"	"AKR1C2"
"37"	"AKR1C3"
"38"	"AKT3"
"39"	"ALDH1L2"
"40"	"ALDH3A2"
"41"	"ALDOA"
"42"	"ALG1L"
"43"	"ALG5"
"44"	"ALG9"
"45"	"ALKBH7"
"46"	"ALOXE3"
"47"	"ALS2CL"
"48"	"AMD1"
"49"	"AMN1"
"50"	"AMZ2"
"51"	"ANAPC11"
"52"	"ANAPC15"
"53"	"ANAPC16"
"54"	"ANGPTL4"
"55"	"ANK1"
"56"	"ANKFY1"
"57"	"ANKRD1"
"58"	"ANKRD12"
"59"	"ANKRD18A"
"60"	"ANKRD26"
"61"	"ANLN"
"62"	"ANTKMT"
"63"	"ANXA2"
"64"	"ANXA7"
"65"	"AOPEP"
"66"	"AP1S1"
"67"	"AP1S2"
"68"	"AP2S1"
"69"	"AP3B2"
"70"	"AP3S1"
"71"	"APC"
"72"	"APIP"
"73"	"APLP2"
"74"	"APOL2"
"75"	"APOL6"
"76"	"APOO"
"77"	"APRT"
"78"	"ARF5"
"79"	"ARHGAP21"
"80"	"ARHGAP26"
"81"	"ARHGAP27"
"82"	"ARHGDIA"
"83"	"ARHGEF10"
"84"	"ARHGEF11"
"85"	"ARHGEF2"
"86"	"ARHGEF28"
"87"	"ARHGEF37"
"88"	"ARID4A"
"89"	"ARID4B"
"90"	"ARL1"
"91"	"ARL15"
"92"	"ARL2"
"93"	"ARL2BP"
"94"	"ARL3"
"95"	"ARL5B"
"96"	"ARL6IP5"
"97"	"ARL6IP6"
"98"	"ARMC1"
"99"	"ARMC10"
"100"	"ARNTL2"
"101"	"ARPC3"
"102"	"ARPC4"
"103"	"ARPP19"
"104"	"ARRB1"
"105"	"ARRDC3"
"106"	"ARV1"
"107"	"ARVCF"
"108"	"ASF1A"
"109"	"ASPM"
"110"	"ASXL2"
"111"	"ATAD2"
"112"	"ATAD5"
"113"	"ATG14"
"114"	"ATG5"
"115"	"ATL2"
"116"	"ATM"
"117"	"ATP10D"
"118"	"ATP5F1A"
"119"	"ATP5F1B"
"120"	"ATP5F1C"
"121"	"ATP5F1D"
"122"	"ATP5MC1"
"123"	"ATP5MC2"
"124"	"ATP5MC3"
"125"	"ATP5MD"
"126"	"ATP5ME"
"127"	"ATP5MF"
"128"	"ATP5MG"
"129"	"ATP5MPL"
"130"	"ATP5PB"
"131"	"ATP5PD"
"132"	"ATP5PF"
"133"	"ATP5PO"
"134"	"ATP6V0B"
"135"	"ATP6V0E1"
"136"	"ATP8B1"
"137"	"ATPAF1"
"138"	"ATPSCKMT"
"139"	"ATRAID"
"140"	"ATRX"
"141"	"ATXN7L3B"
"142"	"AURKAIP1"
"143"	"AZIN1"
"144"	"B3GNT2"
"145"	"B3GNT4"
"146"	"B9D1"
"147"	"BAD"
"148"	"BAG4"
"149"	"BANF1"
"150"	"BASP1"
"151"	"BAZ1A"
"152"	"BAZ1B"
"153"	"BBS10"
"154"	"BCAP31"
"155"	"BCAS4"
"156"	"BCL7C"
"157"	"BCYRN1"
"158"	"BDP1"
"159"	"BET1"
"160"	"BIRC5"
"161"	"BLOC1S2"
"162"	"BMT2"
"163"	"BNC1"
"164"	"BOD1"
"165"	"BOD1L1"
"166"	"BOLA3"
"167"	"BORA"
"168"	"BPTF"
"169"	"BRCA1"
"170"	"BRD8"
"171"	"BRK1"
"172"	"BRPF3"
"173"	"BTF3"
"174"	"BTF3L4"
"175"	"BUD31"
"176"	"BZW1"
"177"	"BZW1-AS1"
"178"	"BZW2"
"179"	"C11orf1"
"180"	"C11orf54"
"181"	"C11orf58"
"182"	"C12orf10"
"183"	"C12orf57"
"184"	"C17orf75"
"185"	"C19orf33"
"186"	"C19orf53"
"187"	"C1D"
"188"	"C1orf174"
"189"	"C1orf43"
"190"	"C1QBP"
"191"	"C1S"
"192"	"C22orf23"
"193"	"C22orf46"
"194"	"C2CD3"
"195"	"C3orf14"
"196"	"C6orf120"
"197"	"C7orf50"
"198"	"C8orf33"
"199"	"CACYBP"
"200"	"CALD1"
"201"	"CALM2"
"202"	"CAMK4"
"203"	"CAMTA1"
"204"	"CAPG"
"205"	"CAPN5"
"206"	"CAPZA2"
"207"	"CARD19"
"208"	"CARHSP1"
"209"	"CASP1"
"210"	"CASP8AP2"
"211"	"CAST"
"212"	"CAT"
"213"	"CAV1"
"214"	"CAV2"
"215"	"CBFA2T2"
"216"	"CBX3"
"217"	"CCAR1"
"218"	"CCDC117"
"219"	"CCDC136"
"220"	"CCDC14"
"221"	"CCDC167"
"222"	"CCDC186"
"223"	"CCDC58"
"224"	"CCDC73"
"225"	"CCDC80"
"226"	"CCDC88A"
"227"	"CCDC90B"
"228"	"CCDC93"
"229"	"CCNA2"
"230"	"CCNB1"
"231"	"CCNB1IP1"
"232"	"CCNB2"
"233"	"CCNC"
"234"	"CCND3"
"235"	"CCNDBP1"
"236"	"CCNQ"
"237"	"CCP110"
"238"	"CCT4"
"239"	"CCT5"
"240"	"CCT7"
"241"	"CD320"
"242"	"CD63"
"243"	"CDC20"
"244"	"CDC42"
"245"	"CDC42BPA"
"246"	"CDC42SE2"
"247"	"CDCA4"
"248"	"CDH1"
"249"	"CDH24"
"250"	"CDK12"
"251"	"CDK4"
"252"	"CDKN2AIPNL"
"253"	"CDKN3"
"254"	"CDR2L"
"255"	"CDS2"
"256"	"CEMIP"
"257"	"CEMIP2"
"258"	"CENPA"
"259"	"CENPE"
"260"	"CENPL"
"261"	"CENPM"
"262"	"CENPV"
"263"	"CENPW"
"264"	"CENPX"
"265"	"CEP104"
"266"	"CEP152"
"267"	"CEP164"
"268"	"CEP170"
"269"	"CEP250"
"270"	"CEP290"
"271"	"CEP295"
"272"	"CEP350"
"273"	"CES2"
"274"	"CETN2"
"275"	"CFAP20"
"276"	"CFAP57"
"277"	"CFD"
"278"	"CFL2"
"279"	"CGRRF1"
"280"	"CHCHD1"
"281"	"CHCHD10"
"282"	"CHCHD2"
"283"	"CHCHD3"
"284"	"CHCHD5"
"285"	"CHCHD6"
"286"	"CHD1"
"287"	"CHD2"
"288"	"CHD8"
"289"	"CHMP2A"
"290"	"CHPT1"
"291"	"CIAO2A"
"292"	"CIAO2B"
"293"	"CIAPIN1"
"294"	"CIB1"
"295"	"CINP"
"296"	"CIRBP"
"297"	"CISD1"
"298"	"CISD2"
"299"	"CISD3"
"300"	"CITED2"
"301"	"CIZ1"
"302"	"CKAP5"
"303"	"CKS1B"
"304"	"CKS2"
"305"	"CLDN1"
"306"	"CLDND1"
"307"	"CLIC1"
"308"	"CLIP1"
"309"	"CLNS1A"
"310"	"CLSPN"
"311"	"CMC1"
"312"	"CMC2"
"313"	"CMPK1"
"314"	"CMSS1"
"315"	"CNBP"
"316"	"CNIH1"
"317"	"CNIH4"
"318"	"CNNM4"
"319"	"CNOT7"
"320"	"CNTRL"
"321"	"COA1"
"322"	"COA3"
"323"	"COA4"
"324"	"COA5"
"325"	"COA6"
"326"	"COA6-AS1"
"327"	"COL12A1"
"328"	"COL16A1"
"329"	"COL17A1"
"330"	"COL4A1"
"331"	"COL4A5"
"332"	"COL6A1"
"333"	"COL7A1"
"334"	"COMMD1"
"335"	"COMMD10"
"336"	"COMMD2"
"337"	"COMMD3"
"338"	"COMMD6"
"339"	"COMMD7"
"340"	"COMMD8"
"341"	"COMMD9"
"342"	"COMTD1"
"343"	"COPRS"
"344"	"COPS3"
"345"	"COPS4"
"346"	"COPS5"
"347"	"COPS6"
"348"	"COPS7A"
"349"	"COPS9"
"350"	"COPZ1"
"351"	"COQ2"
"352"	"COQ3"
"353"	"COX11"
"354"	"COX14"
"355"	"COX17"
"356"	"COX18"
"357"	"COX20"
"358"	"COX4I1"
"359"	"COX5A"
"360"	"COX5B"
"361"	"COX6A1"
"362"	"COX6B1"
"363"	"COX7A2"
"364"	"COX7A2L"
"365"	"COX7B"
"366"	"COX8A"
"367"	"CPEB3"
"368"	"CPLANE1"
"369"	"CPNE3"
"370"	"CPT1A"
"371"	"CRADD"
"372"	"CREB5"
"373"	"CREG2"
"374"	"CRIPT"
"375"	"CRLS1"
"376"	"CRYAB"
"377"	"CRYBG3"
"378"	"CRYZ"
"379"	"CRYZL1"
"380"	"CSPG4"
"381"	"CTDSPL2"
"382"	"CTSV"
"383"	"CTU2"
"384"	"CUL7"
"385"	"CUTA"
"386"	"CUTC"
"387"	"CYB5B"
"388"	"CYB5R4"
"389"	"CYC1"
"390"	"CYCS"
"391"	"CYP26A1"
"392"	"CYTH3"
"393"	"DAAM1"
"394"	"DAD1"
"395"	"DANCR"
"396"	"DARS1"
"397"	"DAZAP2"
"398"	"DBI"
"399"	"DBP"
"400"	"DCAF16"
"401"	"DCK"
"402"	"DCTN3"
"403"	"DCTN6"
"404"	"DCTPP1"
"405"	"DCUN1D5"
"406"	"DCXR"
"407"	"DDIT4"
"408"	"DDX27"
"409"	"DDX39A"
"410"	"DDX47"
"411"	"DENND1B"
"412"	"DENND3"
"413"	"DERA"
"414"	"DERL2"
"415"	"DGKA"
"416"	"DGUOK"
"417"	"DGUOK-AS1"
"418"	"DHPS"
"419"	"DHRS2"
"420"	"DHRS4-AS1"
"421"	"DHTKD1"
"422"	"DIABLO"
"423"	"DIMT1"
"424"	"DLEU1"
"425"	"DLEU2"
"426"	"DMAC1"
"427"	"DMXL2"
"428"	"DNAJB1"
"429"	"DNAJC13"
"430"	"DNAJC19"
"431"	"DNAJC2"
"432"	"DNAJC22"
"433"	"DNMBP"
"434"	"DNMT1"
"435"	"DOCK5"
"436"	"DOCK9"
"437"	"DOLPP1"
"438"	"DPH3"
"439"	"DPH5"
"440"	"DPH6"
"441"	"DPM3"
"442"	"DPY30"
"443"	"DRAM2"
"444"	"DSP"
"445"	"DSTN"
"446"	"DTD1"
"447"	"DTD2"
"448"	"DTYMK"
"449"	"DUSP4"
"450"	"DUSP5"
"451"	"DUSP9"
"452"	"DUT"
"453"	"DYNLL1"
"454"	"DYNLT1"
"455"	"DYSF"
"456"	"DZIP1"
"457"	"EBNA1BP2"
"458"	"EBP"
"459"	"EBPL"
"460"	"ECE1"
"461"	"ECI1"
"462"	"ECI2"
"463"	"ECM1"
"464"	"ECSIT"
"465"	"EDIL3"
"466"	"EDIL3-DT"
"467"	"EEA1"
"468"	"EEF1A1"
"469"	"EEF1A2"
"470"	"EEF1AKMT4"
"471"	"EEF1B2"
"472"	"EEF1G"
"473"	"EID1"
"474"	"EIF1"
"475"	"EIF1AX"
"476"	"EIF2AK2"
"477"	"EIF3E"
"478"	"EIF3H"
"479"	"EIF3I"
"480"	"EIF3K"
"481"	"EIF3M"
"482"	"EIF4E"
"483"	"EIF4E2"
"484"	"EIF4E3"
"485"	"EIF4G3"
"486"	"EIF5A"
"487"	"EIF5B"
"488"	"ELFN1"
"489"	"ELOB"
"490"	"ELOC"
"491"	"ELP4"
"492"	"ELP5"
