""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AAAS"	1538.54984111978	-1.22891718087859	0.0778753511863022	-15.7805667924198	4.23369177914583e-56	2.2067767600209e-06
"AASDHPPT"	2451.50714649406	-1.32952453729288	0.0736108708154618	-18.0615243722074	6.40297596922071e-73	3.47498537576825e-08
"AASS"	470.444116780034	1.97874554062593	0.135076600382251	14.6490623470409	1.36587615811669e-48	1.37495424390728e-05
"ABCC5"	1204.98762177223	1.01978090998674	0.0858540400508458	11.8780771339682	1.53866113951407e-32	0.000675626155234413
"ABL1"	2680.55808952908	1.05137103303588	0.0710031278690552	14.8073903867282	1.31237282312674e-49	1.07486859465099e-05
"ABL2"	683.877148434567	2.18281513402161	0.110173533864845	19.8125181016647	2.32176923163102e-87	9.96796911678644e-10
"ABR"	1683.39486074035	1.13613424289601	0.0739243043105892	15.3688865048036	2.64678981983865e-53	4.37847535336359e-06
"ABT1"	731.729220017895	-1.03162003030347	0.108506154417471	-9.50747942217521	1.95338133467453e-21	0.00993833612647241
"ACAT2"	2458.81557950961	-1.24011351099844	0.0658919749327949	-18.8204028223963	5.13923742767941e-79	7.79312100344355e-09
"ACOT13"	893.430146023825	-1.59968529118144	0.097851447187694	-16.3481004845335	4.48752125403008e-60	8.24895702555895e-07
"ACP1"	3854.49548611571	-1.32547859683461	0.0566973611620085	-23.3781355898938	7.13327498924297e-121	2.45900281511384e-13
"ACSBG1"	2264.22102167253	-1.03217081311164	0.0675113423934766	-15.2888503845151	9.07377541117302e-53	4.96110172116563e-06
"ACSF2"	393.048581939359	1.55613324374353	0.143261771186497	10.862166723583	1.7455755868106e-27	0.00229720295101105
"ACTB"	152341.022960523	-1.0108134182535	0.0433062390372728	-23.3410575640964	1.69875323810971e-120	2.68678412851386e-13
"ACTL6A"	16801.4647830437	-1.39645307886642	0.050916041979686	-27.4265835396939	1.32203062002263e-165	1.46818804836823e-14
"ADAP1"	2095.25559425126	-1.04830939358202	0.071707328591412	-14.6192783105236	2.11631722987303e-48	1.44242161753757e-05
"ADGRG2"	111.790395102606	2.66213128017154	0.268694508568936	9.9076504925613	3.85607336406111e-23	0.00660641097218286
"ADH5"	5355.94055994544	-1.4425536250861	0.0509063515858266	-28.3373995611137	1.19680336022987e-176	1.46818804836823e-14
"ADK"	2415.36354717818	-1.40833258356582	0.0702257694972889	-20.0543560241115	1.84922488182573e-89	5.86225821743971e-10
"ADM"	1241.48245757834	-1.11432977431458	0.0838086183581919	-13.2961239087848	2.43782348778003e-40	0.000100721875292587
"ADSL"	5152.7915331397	-1.54437896975985	0.0559929987319103	-27.5816442186675	1.84764080099205e-167	1.46818804836823e-14
"AFF4"	2156.69883806792	1.11667696738863	0.0695653879169033	16.0521920573851	5.51802365314542e-58	1.3847026898289e-06
"AHCTF1"	1417.85104458768	1.2272127340325	0.0847439664176494	14.4814172136379	1.58789080720821e-47	1.78820685588085e-05
"AHCY"	13623.7868605664	-1.19559845319156	0.0478985414277847	-24.9610618100789	1.61954841634654e-137	1.46818804836823e-14
"AHR"	3781.7537357434	1.29562822140334	0.0563764164980579	22.9817413359002	7.09835155851479e-117	6.58525521694574e-13
"AIG1"	478.107193559801	-1.29605301970214	0.129479208810639	-10.0097384870308	1.3811714936161e-23	0.00592256364995516
"AIMP2"	4294.00621741384	-1.08805152872084	0.0540149465242459	-20.1435269075467	3.06698928017709e-90	4.83707864451198e-10
"AK2"	3127.27185088891	-1.34253136910344	0.0605619523929236	-22.1679010675407	7.0104008527031e-109	4.88012165737348e-12
"AKAP12"	562.0527715308	2.9423105901699	0.140445080182957	20.9499014585414	1.88019889520178e-97	8.24542992127591e-11
"AKAP13"	1474.94351230699	1.36092255787848	0.0799180760820333	17.0289704732324	5.00775021411364e-65	2.43068450700434e-07
"AKIRIN2"	1390.09358270928	-1.11058106965756	0.0829577303200522	-13.3873126153876	7.17294660078769e-41	8.88073344062508e-05
"AKR1A1"	3139.79745317141	-1.24963402291611	0.0730717912581512	-17.101455998271	1.44742617789522e-65	2.12714567781214e-07
"AKR1B1"	6262.03139914109	-1.01675273268212	0.0615440735619257	-16.5207252922422	2.60249510979643e-61	6.1109229239655e-07
