© 2000-2019 QIAGEN. All rights reserved.

Symbol	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Location	Type(s)	Biomarker Application(s)	Drug(s)	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
ABCA4	ATP binding cassette subfamily A member 4	ABCA4	Plasma Membrane	transporter	unspecified application		24	11304	310836
ABCA8	ATP binding cassette subfamily A member 8	ABCA8	Plasma Membrane	transporter			10351	27404	303637
ACE2	angiotensin I converting enzyme 2	ACE2	Plasma Membrane	peptidase		aspirin/lisinopril,hydrochlorothiazide/lisinopril,hydrochlorothiazide/moexipril,lisinopril,moexipril	59272	70008	302668
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	ADAMTS14	Extracellular Space	peptidase			140766	237360	309837
ADGRF4	adhesion G protein-coupled receptor F4	ADGRF4	Plasma Membrane	G-protein coupled receptor			221393	78249	501106
ADGRG2	adhesion G protein-coupled receptor G2	ADGRG2	Plasma Membrane	G-protein coupled receptor			10149	237175	266735
ANKRD1	ankyrin repeat domain 1	ANKRD1	Cytoplasm	transcription regulator			27063	107765	27064
ARHGDIG	Rho GDP dissociation inhibitor gamma	ARHGDIG	Cytoplasm	other			398	14570	360500
ART5	ADP-ribosyltransferase 5	ART5	Extracellular Space	enzyme			116969	11875	259167
ASB2	ankyrin repeat and SOCS box containing 2	ASB2	Nucleus	transcription regulator			51676	65256	299266
ATP13A4	ATPase 13A4	ATP13A4	Cytoplasm	transporter			84239	224079	288026
ATP6V0A4	ATPase H+ transporting V0 subunit a4	ATP6V0A4	Cytoplasm	transporter			50617	140494	296981
AZGP1	alpha-2-glycoprotein 1, zinc-binding	AZGP1	Extracellular Space	transporter	unspecified application		563	12007	25294
BIRC3	baculoviral IAP repeat containing 3	BIRC3	Cytoplasm	enzyme	diagnosis	birinapant	330	11796	78971
C11orf96	chromosome 11 open reading frame 96	C11orf96	Other	other			387763	620695	499839
C1QTNF2	C1q and TNF related 2	C1QTNF2	Extracellular Space	other			114898	69183	497886
C7orf65	chromosome 7 open reading frame 65	C7orf65	Other	other			401335	 	 
CA13	carbonic anhydrase 13	CA13	Cytoplasm	enzyme		acetazolamide,benzthiazide,chlorothiazide,chlorthalidone,hydrochlorothiazide,methazolamide,sulfacetamide,topiramate,trichloromethiazide	377677	71934	499566
CACNA1A	calcium voltage-gated channel subunit alpha1 A	CACNA1A	Plasma Membrane	ion channel		bepridil,clevidipine butyrate,pregabalin	773	12286	25398
